source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate,gilbert,10,,masked_input,condition,0.2006644297654273,0.8876002487136566,0.2043474096376284,3.252159008074459,3.1955481212751002,16.50213315556563,0.8899208230811608,0.29473890505668465
evaluate,gilbert,10,,reconstructed,condition,0.13887170899071055,0.9363582639204138,0.400924565925391,3.569579903195198,3.1597297047699193,12.869644197262973,0.9554048789744545,0.23721401620637342
evaluate,gilbert,20,,masked_input,condition,0.2809989942550111,0.7812367231053107,0.40317224221467396,2.3304985167654877,2.9916221526520093,13.642473885829505,0.7854580132422871,0.3907918688087634
evaluate,gilbert,20,,reconstructed,condition,0.19239862786838693,0.8760897849075261,0.4102118890178079,2.7797303068378905,2.9458083623470266,12.596992469658701,0.9135300134481577,0.3169332388358937
evaluate,gilbert,30,,masked_input,condition,0.3845843323945558,0.6828202913817176,0.6042473096571329,1.8003655405539356,2.82462305566778,11.332977442444424,0.6882880027483909,0.5132754491865514
evaluate,gilbert,30,,reconstructed,condition,0.25631548901976564,0.8190891753735526,0.42018722389747515,2.2378551769141506,2.771357071799291,12.335432935700911,0.8739001091251402,0.3995128229239251
evaluate,gilbert,40,,masked_input,condition,0.5264641544803849,0.5634377533569175,0.8026301692017411,1.3768832830182163,2.5785535696461364,9.576702727105285,0.5700407533026725,0.6611692365916019
evaluate,gilbert,40,,reconstructed,condition,0.31266744343022673,0.7526460507434346,0.43073679901185963,1.756305190122425,2.600311010150495,12.14140290592528,0.8259032992921997,0.4817217688899105
evaluate,gilbert,50,,masked_input,condition,0.6265047297740511,0.4662860030657277,1.016203503980813,1.2175967220213515,2.393373443479991,8.256289862665742,0.476721868490586,0.767104200662125
evaluate,gilbert,50,,reconstructed,condition,0.36009550279951325,0.6972864583796158,0.43897186395916743,1.508543488582295,2.477235547631188,11.990963302882372,0.7873351848833942,0.5555901660688467
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.403843328133886,0.676276203924666,0.6061201269383979,1.99550061408669,2.7967440685442035,11.862115414722117,0.6820858921730195,0.5254159320611452
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.25206975442172064,0.8162939466649085,0.4202064683623402,2.370402813130392,2.790888339339584,12.386887162286047,0.8712146971446693,0.39819440258498984
