method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,160,masked_input,0.34479122865960865,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.553047619047619
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,160,fused,0.3110544871716003,0.9575309207641991,0.055114479213953016,3.749742552757263,3.799782258892059,22.69700864335168,0.9706696173171294,0.5212857142857142
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,500,masked_input,0.46553965345696363,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6662619047619048
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,500,fused,0.34390350829447347,0.8660057925257412,0.07975629746913909,2.8643441557884217,3.2051353747208915,21.349986994358254,0.9179697709592769,0.5544404761904761
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,1000,masked_input,0.6115708147260341,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7704761904761903
concat,av_plc_concat_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,concat,,single_gap,,1000,fused,0.36091187043653716,0.7276207581207482,0.12306349098682404,2.0219192669391632,2.7415994420051573,19.649271595336593,0.8351634172491227,0.5808095238095239
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,160,masked_input,0.3542447072422177,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5635714285714284
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,160,fused,0.31389856195128224,0.9564062287983157,0.05635107040405273,3.7350547902584075,3.7835953165690106,22.586902197043557,0.9699795726096068,0.524952380952381
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,500,masked_input,0.4379135850849169,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6422619047619048
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,500,fused,0.34807373783165246,0.8629956906257203,0.0808808919787407,2.838353391170502,3.1927450642426805,21.272125617674146,0.9162193195578334,0.5590119047619048
