source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate,single_gap,,20,masked_input,condition,0.09473375610159038,0.9942004871088266,0.013695137399943337,4.184275674704861,3.300905066573546,28.09894263312784,0.9944855169275953,0.17259129424254124
evaluate,single_gap,,20,fused,condition,0.08573965038806346,0.9963996756103988,0.00021536170179249116,4.259221041864286,3.2279032484204433,47.97755332695124,0.9972747993409495,0.16105686014173543
evaluate,single_gap,,40,masked_input,condition,0.09961366205101886,0.9867978914210114,0.02712797183222763,3.7581291020348107,3.2615667034135365,25.149430260385895,0.9858746970440824,0.17797626861383897
evaluate,single_gap,,40,fused,condition,0.08949146194080412,0.9945330253895619,0.0004779246598459654,4.205357522611549,3.2448233571567875,46.52627669048233,0.9960314847878238,0.16612875481540001
evaluate,single_gap,,80,masked_input,condition,0.10064751244078979,0.9711404935190192,0.054716610515299864,3.5708856643061435,3.2064757765698095,21.985849807076367,0.9705940830733003,0.182363681951373
evaluate,single_gap,,80,fused,condition,0.08731969228129828,0.9891892288530756,0.0012502682411950307,4.097510731229836,3.141604556433794,44.69547537499057,0.9926070247026765,0.16319837644254376
evaluate,single_gap,,160,masked_input,condition,0.1273349506129524,0.9351940813960121,0.1060561981780435,3.2990070374282445,3.143178357014102,19.08803824120151,0.9362457881255531,0.2210934044502025
evaluate,single_gap,,160,fused,condition,0.10634556894795184,0.9735333347919801,0.0036207953970339856,3.8296655383881117,3.261565946963621,41.82060991442213,0.9815220667144858,0.18773435490048523
evaluate,single_gap,,320,masked_input,condition,0.19679404015976967,0.8691811010875293,0.2124867985805771,3.008020797566071,3.077951604759255,15.937472733967935,0.8726618608869698,0.2982113332274233
evaluate,single_gap,,320,fused,condition,0.11896951944866303,0.9382896644478433,0.009442429083728398,3.4397325273108694,3.1565150086570917,38.96621499403005,0.9571401815817225,0.21643841989779242
evaluate,single_gap,,500,masked_input,condition,0.2389051861969316,0.809635375902462,0.34312138733418834,2.8542628259497693,3.0976473901124124,13.690156254572726,0.8126496288131596,0.34226283013491376
evaluate,single_gap,,500,fused,condition,0.15163539462567746,0.9008768384663718,0.01570319231938232,3.164154467425419,3.067321099190266,37.21855108640123,0.9304164295342249,0.2600727443647798
evaluate,single_gap,,750,masked_input,condition,0.36566538785482333,0.7209291465623868,0.507344172831418,2.5810078511963135,3.0794886291170926,11.919074471305668,0.7239589686489037,0.4578301212955276
evaluate,single_gap,,750,fused,condition,0.19600864603636528,0.8435356226973915,0.025396496298770124,2.8082886028941947,2.9300962820037753,34.42339018056782,0.8914902715595558,0.32154032166099744
evaluate,single_gap,,1000,masked_input,condition,0.4165592181062745,0.6296151968777894,0.6535285218818861,2.2464921312729937,3.0701796324459596,10.665723199146175,0.6325860757064056,0.5042658758065033
evaluate,single_gap,,1000,fused,condition,0.22791637720812552,0.7859104938789848,0.036433075381591254,2.4334279817625677,2.81820346032304,30.749145968154085,0.8510806794294169,0.37078531105079776
evaluate,single_gap,,1250,masked_input,condition,0.4512087650782517,0.578117025215627,0.8463537435040586,2.048328376101066,3.0959503886973967,9.374355074482777,0.5824669505610566,0.5262960211773566
evaluate,single_gap,,1250,fused,condition,0.2591572332930661,0.7542968650235253,0.04402198634100651,2.2139199359322976,2.7256584635430476,28.3276235023431,0.829550841678004,0.4078514785473755
evaluate,single_gap,,1500,masked_input,condition,0.5015089151694028,0.510843795803141,1.0379943323058651,1.8307482761766076,3.105932810307188,8.35824957300556,0.5165344843553239,0.5742406103327262
evaluate,single_gap,,1500,fused,condition,0.28427982078727676,0.7140480260286227,0.05222068052388254,1.9656946384801275,2.6342968839331844,25.901530826657602,0.8007460144147879,0.45140903500718466
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.25929713937718046,0.8005654594893805,0.38024248743635075,2.938115773673688,3.14392763590103,16.426729224827245,0.8028058054142351,0.34571314412324067
evaluate,single_gap,,,fused,mean_over_gap_durations,0.1606863364957292,0.8890612775187756,0.01887822099482286,3.2416972987899255,3.020798830662505,37.66063718650001,0.9227859793743647,0.2706215656829092
