dataset,gap_ms,num_samples,audio_model,av_model,audio_only_pesq_mean,audio_only_pesq_std,audio_only_pesq_ci95,audio_only_stoi_mean,audio_only_stoi_std,audio_only_stoi_ci95,audio_only_num_pesq,audio_only_num_stoi,audio_visual_pesq_mean,audio_visual_pesq_std,audio_visual_pesq_ci95,audio_visual_stoi_mean,audio_visual_stoi_std,audio_visual_stoi_ci95,audio_visual_num_pesq,audio_visual_num_stoi,delta_pesq_av_minus_audio,delta_stoi_av_minus_audio
grid,20,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),4.17606947362423,0.38331473347236705,0.011883910359828824,0.9848541925885105,0.026145278831516152,0.0008105823304829133,4000,4000,4.181495626091957,0.37570375441602033,0.011647947103115971,0.9845261356692483,0.026673781695515042,0.0008269675098465663,4000,4000,0.005426152467727263,-0.0003280569192621874
grid,40,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),4.124222419917584,0.4053277191601038,0.012566379166324925,0.982531861453028,0.02650877029529036,0.0008218516598220816,4000,4000,4.1285503092408185,0.4050495636851952,0.012557755509467375,0.9822352059383115,0.027342489417672044,0.0008476994617729902,4000,4000,0.004327889323234579,-0.00029665551471647067
grid,80,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),4.0086524506211285,0.4496523089217654,0.013940574848009429,0.9782820270979126,0.02816882214919276,0.0008733182633771624,4000,4000,4.020106750071049,0.4491020676079796,0.013923515711278448,0.9780025191899525,0.028028407947543084,0.0008689650005361139,4000,4000,0.011454299449920491,-0.00027950790796005265
grid,160,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),3.7803731864988803,0.539108575355791,0.01671398833461511,0.9677398185599254,0.02991774201921054,0.0009275400428885756,4000,4000,3.8057552792429923,0.5315619724025705,0.01648002093084518,0.9675493250477968,0.03084883544687921,0.0009564067413606234,4000,4000,0.02538209274411196,-0.00019049351212863108
grid,320,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),3.324062324106693,0.7230041398269251,0.02241530428443008,0.9391309803136533,0.03822200571412093,0.0011849972099030291,4000,4000,3.3954987140595914,0.6789547980252743,0.02104964211789085,0.943142243431491,0.039027460369634746,0.0012099687283164296,4000,4000,0.07143638995289825,0.004011263117837727
grid,500,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),2.8383604433238507,0.8317408337783053,0.025786469050356038,0.8999819551113466,0.04557659382099581,0.001413011575549282,4000,4000,2.9737824841737748,0.7634668622814755,0.023669770456936787,0.9145135086761961,0.04647799320435227,0.0014409576692805983,4000,4000,0.13542204084992404,0.014531553564849475
grid,750,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),2.299703933387995,0.838410829055618,0.02599325897793856,0.8409076446187196,0.053241725018941234,0.0016506537116277207,4000,4000,2.4952270237505436,0.7715022254292379,0.023918890897707854,0.8746574873299657,0.05676957407642878,0.0017600276498074567,4000,4000,0.19552309036254867,0.03374984271124615
grid,1000,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),1.875395182222128,0.7402891430888846,0.02295119140641383,0.7792813369760957,0.060154160873199844,0.0018649600267435678,4000,4000,2.0921309702694417,0.690694698776827,0.02141361437353804,0.8317507917016653,0.06766100541073833,0.002097694799970617,4000,4000,0.21673578804731375,0.05246945472556963
grid,1250,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),1.5883870004415512,0.550804852745663,0.01707660813476154,0.7177661436757624,0.06352139729787902,0.001969354489927234,4000,4000,1.7957277164757253,0.5421422927339392,0.016808042703598987,0.7869624274712272,0.07864206156060027,0.0024381405891503167,4000,4000,0.20734071603417403,0.06919628379546483
grid,1500,4000,audio_bursty_plc(grid),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(grid),1.3888216757178307,0.35753861923679114,0.011084773242856057,0.6578349767340275,0.0665586698712287,0.0020635190806620597,4000,4000,1.5866219512522222,0.37914121035456094,0.011754518582561654,0.7416451019616537,0.08880541102444729,0.0027532350100974287,4000,4000,0.1978002755343915,0.08381012522762621
