source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate,single_gap,,20,masked_input,condition,0.21956777896244428,0.993602979586681,0.00665075765074218,4.096356559236363,3.360535867785497,30.86042493138616,0.993647651946047,0.2948920951913065
evaluate,single_gap,,20,fused,condition,0.21885280985808953,0.9956817908003123,0.0003788477694729825,4.225803761990193,3.3913929711705406,43.129286794778764,0.996849225625076,0.29508931617204814
evaluate,single_gap,,40,masked_input,condition,0.22471301621488676,0.9862604385823703,0.013206109572475816,3.5142539370634953,3.2487821612627856,27.82435782918204,0.9845789709121184,0.30148934573010405
evaluate,single_gap,,40,fused,condition,0.22088879367307784,0.9934030704835928,0.0008968014884963517,4.1632265793099545,3.378368997544129,39.34957433525341,0.9954612254181466,0.2980218368821305
evaluate,single_gap,,80,masked_input,condition,0.23129932043090895,0.9694586523056098,0.02632533941107572,3.2336731342608886,3.207562729820587,24.743298562164217,0.9668238431609051,0.313751350796622
evaluate,single_gap,,80,fused,condition,0.22355233425872204,0.9865026363878342,0.002513577812561477,4.034212303432202,3.3512256447072386,34.93742316320535,0.9910249083286978,0.3018566227064926
evaluate,single_gap,,160,masked_input,condition,0.255744874728815,0.9356024011794403,0.05274603065407888,2.8906096446935376,3.142136309708746,21.623067895015836,0.9346622654329262,0.34485298544890586
evaluate,single_gap,,160,fused,condition,0.23480212102714726,0.9678431294508704,0.007475812909468867,3.75537439783363,3.279928493840032,30.24468336440577,0.978692157367559,0.3183319089606496
evaluate,single_gap,,320,masked_input,condition,0.3065093792232612,0.868890634818256,0.10516390447337387,2.3571690571409603,3.185186383072564,18.52891986174102,0.868530364678078,0.4088648447053397
evaluate,single_gap,,320,fused,condition,0.2711627462687297,0.9227651153288838,0.020494059054433206,3.2644487406625124,3.123248743892033,25.77034128171036,0.9471735025411852,0.372508412500939
evaluate,single_gap,,500,masked_input,condition,0.35686383706096764,0.798408389204578,0.16456024711944406,1.9814797017049752,3.2538756172405496,16.531338396798635,0.797025761744187,0.45767079065503474
evaluate,single_gap,,500,fused,condition,0.31496374208757677,0.8704079332051669,0.03677406820507279,2.8154607164912044,2.96526278207046,23.17650980555626,0.9098396654297487,0.4321968110901327
evaluate,single_gap,,750,masked_input,condition,0.4301656482378759,0.7030417109877113,0.24493134599049313,1.6255025925911792,3.31209819514675,14.762460741250372,0.7007318577784929,0.5313685896501088
evaluate,single_gap,,750,fused,condition,0.3669107376025295,0.79783447284469,0.05905641479427771,2.3278746262081267,2.799478453467959,21.036422397656747,0.8584048709860681,0.5019626248232565
evaluate,single_gap,,1000,masked_input,condition,0.5029613904671661,0.6076689369858691,0.3270874110991911,1.413309532325539,3.349500779187871,13.485382600912935,0.6064453006534912,0.6064026882481166
evaluate,single_gap,,1000,fused,condition,0.42412649339756314,0.7253101602014178,0.08222932394268219,1.9761742709191583,2.6585278341257914,19.565692948925502,0.8062397139698875,0.5763401018885255
evaluate,single_gap,,1250,masked_input,condition,0.5859614258715219,0.5126196795650537,0.40869098473585297,1.2808955976850507,3.390906984348329,12.507753240152475,0.5103808939717946,0.6860433197700352
evaluate,single_gap,,1250,fused,condition,0.4847697277624404,0.6508302621168465,0.10614985482023032,1.7105387692479765,2.5392191004664966,18.44726436747238,0.7538912203399645,0.6563406600911663
evaluate,single_gap,,1500,masked_input,condition,0.6563780983885693,0.418174098663301,0.4899798744205104,1.1990248709571156,3.4202011941992283,11.713338823437715,0.41701943374349987,0.7549138038565647
evaluate,single_gap,,1500,fused,condition,0.546120227146829,0.5775473076732713,0.12968801306154668,1.5196655434002604,2.430987205134143,17.549225344050406,0.701423804551679,0.7336751018859715
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.3770164769586417,0.779372792187887,0.1839342005127238,2.3592274627659107,3.287078622177291,19.25803428820414,0.777984634402154,0.4700249814052138
evaluate,single_gap,,,fused,mean_over_gap_durations,0.3306149733082705,0.8488125878492886,0.04456567738582425,2.979277970949522,2.991764022641882,27.320642380301496,0.8939000294558012,0.4486323397001312
