method,variant,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,160,fused,0.31389856195128224,0.9564062287983157,0.05635107040405273,3.7350547902584075,3.7835953165690106,22.586902197043557,0.9699795726096068,0.524952380952381
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,500,masked_input,0.4379135850849169,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6422619047619048
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,500,fused,0.34807373783165246,0.8629956906257203,0.0808808919787407,2.838353391170502,3.1927450642426805,21.272125617674146,0.9162193195578334,0.5590119047619048
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,1000,masked_input,0.6119765651914884,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7732380952380952
temporal_self_cross_attention,learned_phase,av_plc_temporal_self_cross_attention_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,temporal_self_cross_attention,,single_gap,,1000,fused,0.3632841336700714,0.7214422902861681,0.1251752519607544,1.9999619781970979,2.7214281676928205,19.567633078051344,0.8320561153216245,0.5821904761904761
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,160,masked_input,0.3433389132133801,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5524761904761905
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,160,fused,0.3121208721330489,0.9529155098753815,0.0633659726381302,3.722766783237457,3.972535337988535,22.083192817340496,0.9639647347006758,0.5195238095238095
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,500,masked_input,0.4544723784252321,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6526428571428571
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,500,fused,0.3333442458971406,0.8611303041488593,0.08788645893335342,2.8933974373340607,3.6816497554143273,20.943720315421807,0.9110516644626351,0.5438214285714286
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,1000,masked_input,0.6147731244875979,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7748095238095238
global_local_affinity,griffin_lim,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,1000,fused,0.3583994236932921,0.7188536435468408,0.1294572854042053,2.041627190589905,3.2166566768487295,19.419581733345513,0.8245279429032234,0.5798095238095239
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,160,masked_input,0.34095526066624937,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5522857142857143
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,160,fused,0.30994734156746817,0.9536043247354813,0.07080908298492432,3.7195973620414735,3.757239251104991,21.580368317784732,0.9683274173074149,0.5182857142857142
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,500,masked_input,0.4609984203784479,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6597857142857142
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,500,fused,0.34412832176845526,0.8638883034392532,0.0927165675163269,2.864145801305771,3.1693683546384173,20.64746283378285,0.9178575510132277,0.5577738095238095
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,1000,masked_input,0.6160636434814866,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7688095238095237
global_local_affinity,learned_phase,av_plc_global_local_affinity_latent_spectral_v2_frozen_enc_masked_mel_ge_train_no_jitter(grid)_phase_reconstruction_complex_v1,global_local_affinity,,single_gap,,1000,fused,0.38143515115409377,0.7256750913387788,0.13010773479938506,2.02755579829216,2.6979957167466484,19.339506551488146,0.8358950645198493,0.6046666666666666
