source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,gilbert,10,,masked_input,condition,0.1852038839122269,,0.8876002487136566,0.2043474096376284,3.252159008074459,3.1955481212751002,16.50213315556563,0.8899208230811608,0.2828034953336643,
evaluate,gilbert,10,,reconstructed,condition,0.18103588644548615,0.575960401811208,0.9171896347115184,0.022089950334241767,3.507126326917739,3.1403981959605605,27.659020691654515,0.938887637845539,0.28052246984266294,0.6389803682970092
evaluate,gilbert,20,,masked_input,condition,0.28429323515428295,,0.7812367231053107,0.40317224221467396,2.3304985167654877,2.9916221526520093,13.642473885829505,0.7854580132422871,0.39404756100250865,
evaluate,gilbert,20,,reconstructed,condition,0.2488575591627316,0.6089608375295176,0.838881660378973,0.037972308668343176,2.6744033399360947,2.9058017252021577,24.861702309053747,0.8801234429718248,0.3666258933254106,0.6663159606119113
evaluate,gilbert,30,,masked_input,condition,0.3953369046957936,,0.6828202913817176,0.6042473096571329,1.8003655405539356,2.82462305566778,11.332977442444424,0.6882880027483909,0.5178209327545611,
evaluate,gilbert,30,,reconstructed,condition,0.3365669805869221,0.6393133770320921,0.7656677443144996,0.054503762922216016,2.135320673042598,2.714188300447574,22.676980992238175,0.8267529620787353,0.4697667521983692,0.6922615112429739
evaluate,gilbert,40,,masked_input,condition,0.54055550064537,,0.5634377533569175,0.8026301692017411,1.3768832830182163,2.5785535696461364,9.576702727105285,0.5700407533026725,0.6795978045374667,
evaluate,gilbert,40,,reconstructed,condition,0.42119230591960494,0.6819037152304247,0.6785383412768913,0.0703581342547053,1.6522055720477362,2.5042233937161957,20.81967833650179,0.759817620796497,0.5813118911570238,0.7322767376164829
evaluate,gilbert,50,,masked_input,condition,0.6583450933911815,,0.4662860030657277,1.016203503980813,1.2175967220213515,2.393373443479991,8.256289862665742,0.476721868490586,0.8072681754198247,
evaluate,gilbert,50,,reconstructed,condition,0.4909951959518567,0.7064051422343388,0.6072857292577402,0.08389802722444673,1.4136018822102996,2.3584698252397875,19.62278810778838,0.7076103671071711,0.6613297045316353,0.7555121442500603
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.412746923559771,,0.676276203924666,0.6061201269383979,1.99550061408669,2.7967440685442035,11.862115414722117,0.6820858921730195,0.5363075938096051,
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.33572958561332034,0.6425086947675163,0.7615126219879245,0.053764436680790596,2.276531558830894,2.724616288113255,23.128034087447322,0.8226384061599534,0.4719113422110204,0.6970693444036875
