dataset,gap_ms,method,retention_fraction,retention_percent,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,kept_frames_mean,reduced_region_frames_mean,effective_total_unique_frames_mean
lrs2,160,uniform,0.25,25.0,3.741380608666835,0.8318221295156687,0.04630641875278006,0.9766184058680221,0.03579727476564307,0.0019927861218014997,1243,1243,19.0,75.0,19.0
lrs2,160,uniform,0.5,50.0,3.7813981215223036,0.8025801918403953,0.04467855942674562,0.978686641264716,0.03312050117990339,0.0018437737378200667,1243,1243,38.0,75.0,38.0
lrs2,160,uniform,0.75,75.0,3.798683156817552,0.7891165653545232,0.04392905745527388,0.9796583676793107,0.030783241187680062,0.0017136616187820339,1243,1243,56.0,75.0,56.0
lrs2,160,local,0.25,25.0,3.740150037160921,0.8388575339985593,0.04669807025436924,0.9754664991925929,0.0381209776316538,0.002122143533864076,1243,1243,4.814963797264682,19.863234111021722,59.95172968624296
lrs2,160,local,0.5,50.0,3.761997292047533,0.8149808205084136,0.04536888573993632,0.9779696596312302,0.033323118100392915,0.0018550531491673577,1243,1243,9.620273531777956,19.863234111021722,64.75703942075623
lrs2,160,local,0.75,75.0,3.7907656802348524,0.7951815089246473,0.04426668470358197,0.9791954521878776,0.031801703336841326,0.001770358036308672,1243,1243,15.048270313757039,19.863234111021722,70.18503620273532
lrs2,160,uniform,1.0,100.0,3.836964351365572,0.7591143049304524,0.0422588719848105,0.9816826000257225,0.028074273677636336,0.001562857042350772,1243,1243,75.0,75.0,75.0
lrs2,160,local,1.0,100.0,3.836964351365572,0.7591143049304524,0.0422588719848105,0.9816826000257225,0.028074273677636336,0.001562857042350772,1243,1243,19.863234111021722,19.863234111021722,75.0
lrs2,500,uniform,0.25,25.0,3.011975199775358,1.306820206119246,0.07274892257842037,0.8929121746900568,0.13621544208385689,0.007582930386094426,1243,1243,19.0,75.0,19.0
lrs2,500,uniform,0.5,50.0,3.0906129501945823,1.2579382015135965,0.07002772715162583,0.9132460310671284,0.11053756419278345,0.0061534774728867325,1243,1243,38.0,75.0,38.0
lrs2,500,uniform,0.75,75.0,3.1179106898204223,1.244358000996162,0.06927173566066466,0.9202781723211054,0.10038170738110043,0.005588114588649821,1243,1243,56.0,75.0,56.0
lrs2,500,local,0.25,25.0,2.998565496404806,1.310146215278937,0.07293407703327229,0.890513155516437,0.13827196538465286,0.007697414271245395,1243,1243,7.089300080450523,28.3266291230893,53.76267095736122
lrs2,500,local,0.5,50.0,3.0604649699702917,1.2695861636563996,0.07067615353205314,0.9092025060333552,0.11505508775123624,0.006404961931162765,1243,1243,13.922767497988737,28.3266291230893,60.59613837489944
lrs2,500,local,0.75,75.0,3.104838405898379,1.2455755294192512,0.06933951382982184,0.9199257290598026,0.10047202334571907,0.005593142356882109,1243,1243,21.237329042638777,28.3266291230893,67.91069991954947
lrs2,500,uniform,1.0,100.0,3.1654769242625034,1.2122519854883456,0.06748443697524278,0.9305906149635104,0.0879755057934202,0.00489747803851978,1243,1243,75.0,75.0,75.0
lrs2,500,local,1.0,100.0,3.1654769242625034,1.2122519854883456,0.06748443697524278,0.9305906149635104,0.0879755057934202,0.00489747803851978,1243,1243,28.3266291230893,28.3266291230893,75.0
lrs2,1000,uniform,0.25,25.0,2.285802704234902,1.328629662391108,0.07396302566495803,0.7630013732148122,0.2286671944426028,0.01272959504822009,1243,1243,19.0,75.0,19.0
lrs2,1000,uniform,0.5,50.0,2.3582722448286084,1.3050680032638569,0.07265137980300912,0.8116741955159759,0.1833715095045178,0.010208045212009046,1243,1243,38.0,75.0,38.0
lrs2,1000,uniform,0.75,75.0,2.3858894841477265,1.3013020867699459,0.07244173629874627,0.8260604506388953,0.16969037207820442,0.009446434699138858,1243,1243,56.0,75.0,56.0
lrs2,1000,local,0.25,25.0,2.2799398701515106,1.3300024927010727,0.07403944928120246,0.762134036710867,0.22681870654798264,0.01262669221422412,1243,1243,9.786806114239743,40.39420756234915,44.392598551890586
lrs2,1000,local,0.5,50.0,2.3466845556122586,1.3059412962608623,0.07269999484915696,0.8057172670080688,0.18759755730276742,0.010443303606888431,1243,1243,20.15526950925181,40.39420756234915,54.76106194690266
lrs2,1000,local,0.75,75.0,2.376555288787437,1.3021942423983042,0.07249140140220231,0.8249923835980688,0.17006472123488917,0.009467274213013403,1243,1243,30.607401448109414,40.39420756234915,65.21319388576026
lrs2,1000,uniform,1.0,100.0,2.432571861596234,1.2844238633450538,0.07150214830994017,0.8511588545807567,0.14625419746194204,0.008141774391080204,1243,1243,75.0,75.0,75.0
lrs2,1000,local,1.0,100.0,2.432571861596234,1.2844238633450538,0.07150214830994017,0.8511588545807567,0.14625419746194204,0.008141774391080204,1243,1243,40.39420756234915,40.39420756234915,75.0
