method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,160,masked_input,0.11869237616156744,0.9351940813941945,0.1060561981780435,3.2990069176435277,3.144393970922223,19.088037659593724,0.9362457881260352,0.213495053931498
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,160,fused,0.15616577842031476,0.9715863718786374,0.0042716201684383,3.79833293268015,3.240188826975026,41.53744987008546,0.9798173892192648,0.22333251579027927
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,500,masked_input,0.34256825977729866,0.8096450841535888,0.34312138733418834,2.8545159978053305,3.0954779348286463,13.6901562244567,0.8126496288196512,0.4299950831326535
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,500,fused,0.17552191839535455,0.8913973580239755,0.018619128193463515,3.1149711420913904,3.0277471588392557,37.11751948867332,0.9242512998017175,0.3142297587993485
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,1000,masked_input,0.4590386253909659,0.6298491076698614,0.6535285218818861,2.2462642125701415,3.070576883462071,10.665723112234845,0.6325860756945103,0.529972952318085
global_local_affinity,av_plc_global_local_affinity_frozen_enc_fused_l1_ge_train_v2_jitter2(lrs2),global_local_affinity,,single_gap,,1000,fused,0.32525326271732835,0.7652718194685688,0.043496548548065075,2.3895634336041907,2.743901775189525,30.249480473829056,0.8363079682763429,0.4598618419213753
