dataset,batch_idx,sample_in_batch,video_path,gap_ms,offset_ms,shift_frames,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,pesq,stoi
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,160,4,49,65,0.49,0.65,2.656963348388672,0.9205057361556308
lrs2,0,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00038.mp4,160,320,8,49,65,0.49,0.65,2.361699342727661,0.8991510836414527
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,-320,-8,27,43,0.27,0.43,2.2464921474456787,0.842616372956804
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,-160,-4,27,43,0.27,0.43,2.2208175659179688,0.9232954719481209
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,-80,-2,27,43,0.27,0.43,2.2287938594818115,0.9187648377897613
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,-40,-1,27,43,0.27,0.43,2.403435468673706,0.941923397866478
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,0,0,27,43,0.27,0.43,2.3388671875,0.9391194824128062
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,40,1,27,43,0.27,0.43,2.186150312423706,0.9309329696371228
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,80,2,27,43,0.27,0.43,2.255495071411133,0.9129110603135833
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,160,4,27,43,0.27,0.43,2.3395113945007324,0.8869762959085414
lrs2,0,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00038.mp4,160,320,8,27,43,0.27,0.43,2.26658296585083,0.9177769757845428
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,-320,-8,59,75,0.59,0.75,2.5175769329071045,0.9372047952951942
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,-160,-4,59,75,0.59,0.75,3.121166944503784,0.9659238388950955
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,-80,-2,59,75,0.59,0.75,3.161653757095337,0.9665444485346568
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,-40,-1,59,75,0.59,0.75,3.076152801513672,0.9754127927996409
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,0,0,59,75,0.59,0.75,2.935718297958374,0.9700519145806265
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,40,1,59,75,0.59,0.75,2.6526315212249756,0.9700215242062941
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,80,2,59,75,0.59,0.75,3.116137742996216,0.9729890281469912
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,160,4,59,75,0.59,0.75,2.777862310409546,0.9552493939863183
lrs2,0,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00051.mp4,160,320,8,59,75,0.59,0.75,2.883413553237915,0.9649808998406599
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,-320,-8,106,122,1.06,1.22,2.581568479537964,0.9804515925939602
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,-160,-4,106,122,1.06,1.22,2.7074689865112305,0.9801615037072731
lrs2,0,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00054.mp4,160,-80,-2,106,122,1.06,1.22,3.7074897289276123,0.9788710575550106
