dataset,gap_ms,num_samples,audio_model,av_model,audio_only_pesq_mean,audio_only_pesq_std,audio_only_pesq_ci95,audio_only_stoi_mean,audio_only_stoi_std,audio_only_stoi_ci95,audio_only_num_pesq,audio_only_num_stoi,audio_visual_pesq_mean,audio_visual_pesq_std,audio_visual_pesq_ci95,audio_visual_stoi_mean,audio_visual_stoi_std,audio_visual_stoi_ci95,audio_visual_num_pesq,audio_visual_num_stoi,delta_pesq_av_minus_audio,delta_stoi_av_minus_audio
voxceleb2,20,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),4.200975211496233,0.27794147632462535,0.006187772874623059,0.9966150500866282,0.004046888831002505,9.009532965797842e-05,7754,7754,4.2212365720270215,0.2757211521957873,0.006138342103804066,0.9968546820277148,0.003940621639039155,8.772951777344638e-05,7754,7754,0.020261360530788863,0.00023963194108655994
voxceleb2,40,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),4.136419202022587,0.2693823440260182,0.005997222089011724,0.9948336414767839,0.005041061951672866,0.00011222846915954183,7754,7754,4.161433956442895,0.2689011576887013,0.005986509503739957,0.9954756714502323,0.004542072367852579,0.00010111953265854845,7754,7754,0.025014754420308094,0.0006420299734484214
voxceleb2,80,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),4.025556047613977,0.2744392421838604,0.006109803117451972,0.9906189554080909,0.007216574077892244,0.00016066159652521495,7754,7754,4.037499002122621,0.2695741827081569,0.006001492967217234,0.991048123219606,0.0067186654680577804,0.0001495767255994502,7754,7754,0.011942954508644021,0.00042916781151514094
voxceleb2,160,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),3.7212493953583072,0.3434324863012647,0.007645790225699542,0.976575034875009,0.014564555327206598,0.00032424869284128154,7754,7754,3.7563803718205055,0.329364890211968,0.007332605268047394,0.9787018440282904,0.012611348445498587,0.0002807647165705218,7754,7754,0.035130976462198316,0.0021268091532814504
voxceleb2,320,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),3.1618106925582836,0.4146931540749574,0.009232256675070251,0.9357162385229885,0.026287745542564796,0.0005852404648426484,7754,7754,3.2630079878584946,0.3916714123141243,0.008719726803393668,0.9471260289663228,0.0220816577314536,0.0004916009101779866,7754,7754,0.10119729530021093,0.011409790443334344
voxceleb2,500,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),2.661357772820753,0.42117723001319557,0.009376610766219876,0.884196816705656,0.03326783819852259,0.0007406373079839918,7754,7754,2.815987211790225,0.4018276236756179,0.008945833140607583,0.9097803355243769,0.03002768522058661,0.0006685022277087311,7754,7754,0.15462943896947223,0.025583518818720896
voxceleb2,750,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),2.1422553477227027,0.37476081229770053,0.008343248440182369,0.8113523814139316,0.039957075289393976,0.0008895588736681026,7754,7754,2.330180479365893,0.3756800051073076,0.0083637123033274,0.8584445420147246,0.0394265102064549,0.0008777469761713862,7754,7754,0.18792513164319047,0.04709216060079302
voxceleb2,1000,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),1.7912264569905851,0.30039949276079747,0.006687752606900506,0.7383186224609019,0.0469525796415773,0.001045298825283638,7754,7754,1.9763172877828024,0.32245607767777557,0.007178795324456962,0.8062064297415101,0.04779031286439688,0.0010639491648474933,7754,7754,0.18509083079221722,0.06788780728060828
voxceleb2,1250,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),1.5451479392596548,0.24730216380683834,0.0055056540724863524,0.6649344931430843,0.05414949440860902,0.0012055227492740257,7754,7754,1.7105153814738394,0.26749737752972347,0.00595525733905939,0.7539682708261674,0.055612173151574476,0.0012380861650322357,7754,7754,0.16536744221418465,0.08903377768308307
voxceleb2,1500,7754,audio_bursty_plc(voxceleb2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(voxceleb2),1.3786797692765271,0.20764141213664972,0.004622692210812557,0.5935092551424473,0.06169599815432791,0.0013735295246336753,7754,7754,1.5210374360358805,0.22225945211745515,0.00494813162514357,0.7014195067177931,0.06436789452121973,0.001433013586104037,7754,7754,0.14235766675935335,0.10791025157534573
