dataset,gap_ms,num_samples,audio_model,av_model,audio_only_pesq_mean,audio_only_pesq_std,audio_only_pesq_ci95,audio_only_stoi_mean,audio_only_stoi_std,audio_only_stoi_ci95,audio_only_num_pesq,audio_only_num_stoi,audio_visual_pesq_mean,audio_visual_pesq_std,audio_visual_pesq_ci95,audio_visual_stoi_mean,audio_visual_stoi_std,audio_visual_stoi_ci95,audio_visual_num_pesq,audio_visual_num_stoi,delta_pesq_av_minus_audio,delta_stoi_av_minus_audio
lrs2,20,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),4.249753986743795,0.4806622664379673,0.026757821652684935,0.9970940327220003,0.006895724341419089,0.000383875696049844,1243,1243,4.2621892756832676,0.4694973847057889,0.026136287708743645,0.9971922433023295,0.006994666373218858,0.00038938366583593113,1243,1243,0.012435288939472322,9.821058032921659e-05
lrs2,40,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),4.187783224680495,0.48776049046635805,0.027152970233849865,0.9958354171259826,0.008319784336593368,0.0004631511999415447,1243,1243,4.200372400920619,0.4849565468762245,0.026996878466828113,0.9959363344476498,0.008252459064758098,0.00045940329264306494,1243,1243,0.012589176240124011,0.00010091732166728207
lrs2,80,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),4.031785216910745,0.6264836415003456,0.03487550140313391,0.9907285498051284,0.015464585074706553,0.0008608926438688417,1243,1243,4.100013798317023,0.5641414231159836,0.03140499398568349,0.9927191663815262,0.011920522487307326,0.0006635994480822315,1243,1243,0.06822858140627819,0.0019906165763978745
lrs2,160,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),3.6929289761418214,0.8704055114885968,0.048454303714168576,0.973484522465609,0.04006428885820989,0.0022303250551663294,1243,1243,3.8345980109078983,0.7572137538231449,0.042153070861814065,0.9815698461088526,0.028257829298903105,0.0015730753368168673,1243,1243,0.14166903476607695,0.008085323643243547
lrs2,320,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),3.241580724428473,1.1684507754501987,0.06504608254593003,0.9314912728196534,0.08585611197255494,0.004779494236107377,1243,1243,3.4414864430385355,1.0336052115334409,0.05753941143425874,0.9570490204725813,0.05598655321957275,0.003116696089126477,1243,1243,0.19990571861006234,0.025557747652927953
lrs2,500,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),2.959074340994475,1.341564323975156,0.0746830808720552,0.8861339828556829,0.13887261384071864,0.007730851562636029,1243,1243,3.1629481177510317,1.213269762357811,0.06754109524417079,0.9305657119980698,0.08822838402753029,0.004911555429570898,1243,1243,0.2038737767565566,0.04443172914238691
lrs2,750,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),2.602393358825966,1.4238880411997559,0.07926593144529903,0.8206330633516945,0.1941222595943289,0.010806525004624257,1243,1243,2.8078289014719613,1.3287408350970724,0.07396921449991876,0.891747302158681,0.12319141141763149,0.006857900122436451,1243,1243,0.20543554264599528,0.07111423880698653
lrs2,1000,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),2.2287005078667894,1.348301467528006,0.07505812858897219,0.753628203220295,0.2252667630753943,0.012540297609209026,1243,1243,2.4333361649072085,1.28448993584482,0.07150582647710314,0.8511944348643599,0.146549718653985,0.008158225658224333,1243,1243,0.20463565704041908,0.09756623164406486
lrs2,1250,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),1.9981781431291723,1.2219533546914365,0.06802449914581189,0.7130472847477254,0.24610595053014325,0.013700387136172146,1243,1243,2.2138379293397272,1.1940729777449421,0.06647243607360025,0.8296719029747918,0.15417022557850604,0.008582449025497329,1243,1243,0.21565978621055493,0.11662461822706638
lrs2,1500,1243,audio_bursty_plc(lrs2),av_wide_masking_mlp_av_only_fusion_5loss_bursty2_plc_a0.05_v0.1_pesq_0.01_asr_0.1(lrs2),1.734446736851337,1.0018859793400883,0.05577364445554508,0.6644064501564838,0.2540309485953841,0.014141561115563254,1243,1243,1.9651238409051566,1.0201433114295397,0.05679000556814853,0.8007456146106142,0.16200899443134748,0.009018822740653564,1243,1243,0.23067710405381958,0.1363391644541304
