method,gap_ms,error_type,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error,stored_vs_fresh_phase_mag_weighted_mae_rad
concat,160,frequency,40.88175455658364,0.7135212210045788,0.3500868370864773,2048000,593366.99135018,0.4417127733265681,0.19064584428242598,4.446110719982244e-07
concat,160,temporal,89.46838710803398,1.5615179314840406,0.9933758349091503,2183986,640240.8382824372,1.5165790883589627,0.9640252984382028,4.446110719982244e-07
concat,160,unit,90.02795454060667,1.5712842255693655,1.0005626139402795,2056000,603258.9226856392,1.5650944629990364,0.9959341732126483,4.446110719982244e-07
concat,500,frequency,40.98118485635589,0.7152566071118497,0.3516076667598728,6400000,2011994.2902397418,0.4348613641792072,0.18682427874569618,4.446110719982244e-07
concat,500,temporal,89.37888092700574,1.5599557539242115,0.9921874528599882,6552472,2084198.429908773,1.4925654754253799,0.9448838546937094,4.446110719982244e-07
concat,500,unit,89.95371887453466,1.5699885687739976,0.9995038166249401,6425000,2043751.786239884,1.5575282395122536,0.9910389511894164,4.446110719982244e-07
concat,1000,frequency,41.01424261552167,0.7158335738526238,0.3521015552051831,12800000,4478983.822685823,0.43948157128804466,0.1891435458103688,4.446110719982244e-07
concat,1000,temporal,89.35378911792827,1.5595178192405283,0.9918781803488308,12978243,4584959.57359263,1.4918198380960321,0.9446687864520715,4.446110719982244e-07
concat,1000,unit,89.97657964789039,1.5703875645386076,0.999755734670037,12850000,4544910.50751287,1.5621933184883963,0.9939658586226474,4.446110719982244e-07
global_local_affinity,160,frequency,41.161217416212,0.7183987680421324,0.35298037697692053,2048000,593366.99135018,0.5063854959252081,0.23339880993013495,4.446110719982244e-07
global_local_affinity,160,temporal,89.45648124580265,1.561310134987815,0.9931713758434886,2183986,640240.8382824372,1.5195583645678261,0.965784669252545,4.446110719982244e-07
global_local_affinity,160,unit,90.01051388689436,1.5709798287383854,1.0002095598829222,2056000,603258.9226856392,1.574072165127344,1.003643990570833,4.446110719982244e-07
global_local_affinity,500,frequency,41.26725821318803,0.7202495290908031,0.35470434427532366,6400000,2011994.2902397418,0.5036449284129709,0.23239331815265185,4.446110719982244e-07
global_local_affinity,500,temporal,89.36521985323584,1.5597173232075692,0.991974309558472,6552472,2084198.429908773,1.493282031350518,0.9453257181511961,4.446110719982244e-07
global_local_affinity,500,unit,89.94438324650413,1.5698256313271235,0.9992822276974188,6425000,2043751.786239884,1.5642088873551143,0.9959668574401089,4.446110719982244e-07
global_local_affinity,1000,frequency,41.373520203107006,0.7221041506846103,0.356041875107619,12800000,4478983.822685823,0.5137934176746969,0.23765880998947578,4.446110719982244e-07
global_local_affinity,1000,temporal,89.35313208536384,1.559506351858986,0.9918589478264687,12978243,4584959.57359263,1.4923620833607942,0.9450043976188501,4.446110719982244e-07
global_local_affinity,1000,unit,89.9712842437148,1.5702951423005198,0.9996478437357097,12850000,4544910.50751287,1.5639197029127632,0.9953988697358365,4.446110719982244e-07
temporal_self_cross_attention,160,frequency,41.24104118393844,0.7197919556103063,0.353462812497979,2048000,593366.99135018,0.5594720844563444,0.2519924896971816,4.446110719982244e-07
temporal_self_cross_attention,160,temporal,89.4011162745229,1.5603438339487115,0.9925238722555547,2183986,640240.8382824372,1.5165051488764048,0.9641760414103964,4.446110719982244e-07
temporal_self_cross_attention,160,unit,89.91006330767787,1.5692266353955224,0.9988943212745777,2056000,603258.9226856392,1.567945215324144,0.9981744771382443,4.446110719982244e-07
temporal_self_cross_attention,500,frequency,41.374954345577116,0.7221291811926563,0.35543296392137186,6400000,2011994.2902397418,0.5632079854749077,0.25489519978555675,4.446110719982244e-07
temporal_self_cross_attention,500,temporal,89.35944750727522,1.559616576764992,0.9919096174813494,6552472,2084198.429908773,1.492201199672899,0.9445678088817477,4.446110719982244e-07
temporal_self_cross_attention,500,unit,90.0029940670719,1.5708485831233265,1.0001736538250252,6425000,2043751.786239884,1.5620700970901296,0.994281318231288,4.446110719982244e-07
temporal_self_cross_attention,1000,frequency,41.48759655764102,0.7240951586699013,0.3567663975897152,12800000,4478983.822685823,0.5642238358995649,0.2554917243730817,4.446110719982244e-07
temporal_self_cross_attention,1000,temporal,89.33809937824755,1.5592439816243187,0.991651698124581,12978243,4584959.57359263,1.4929055169106413,0.9453462950274212,4.446110719982244e-07
temporal_self_cross_attention,1000,unit,89.94421340174115,1.5698226669767923,0.9993455309171853,12850000,4544910.50751287,1.5607587975753205,0.9928090958976167,4.446110719982244e-07
