method,gap_ms,error_type,energy_bin,energy_low_db,energy_high_db,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_fraction,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
concat,160,frequency,<-60,-inf,-60.0,42.390232405376025,0.7398491261594073,0.36769328288218184,1375814,0.021546826290026654,12785.175488858076,0.7249357391878918,0.3552667367844593
concat,160,frequency,-60_to_-40,-60.0,-40.0,40.14808665403051,0.7007163004888259,0.3383708455894283,473672,0.13468654543666841,79918.55024110526,0.6873138875076871,0.3295624758212902
concat,160,frequency,-40_to_-20,-40.0,-20.0,34.37221686655379,0.5999083555308921,0.27745702336313544,170885,0.37684492295439925,223607.33813904226,0.5718243133098727,0.26369818509780296
concat,160,frequency,-20_to_-10,-20.0,-10.0,20.817175034218938,0.3633282453110837,0.14484853090148628,22590,0.29561475990776587,175408.04068517685,0.31888803273653926,0.11913495420394644
concat,160,frequency,-10_to_0,-10.0,inf,8.687707970084618,0.1516291085297296,0.02740804432024675,5039,0.17130694541113992,101647.88679599762,0.138719870109066,0.0234197691444085
concat,160,temporal,<-60,-inf,-60.0,89.82752518962815,1.5677860734771547,0.9978810041797378,1452118,0.02169536582423107,13890.259202149839,1.566434416375044,0.9967988685592432
concat,160,temporal,-60_to_-40,-60.0,-40.0,89.65965058956657,1.5648561089756117,0.9955271120599043,518976,0.13651713591663867,87403.84553918615,1.5658224110063947,0.9961109846416732
concat,160,temporal,-40_to_-20,-40.0,-20.0,86.7526391523021,1.5141191880022138,0.9596076761674869,184105,0.3726525519714948,238587.38226231933,1.4734685527086049,0.9312014297493669
concat,160,temporal,-20_to_-10,-20.0,-10.0,83.54236103076049,1.4580892648765742,0.920161092058181,22970,0.28013934419066566,179356.648560524,1.4711868188401178,0.9306660018454062
concat,160,temporal,-10_to_0,-10.0,inf,92.10403555651585,1.6075186748351293,1.034656719723292,5817,0.18899560209696983,121002.7027182579,1.6275722784549629,1.0512541500207984
concat,160,unit,<-60,-inf,-60.0,90.08407588614199,1.572263727829606,1.0012379749569427,1392623,0.021169982475621525,12770.980821517303,1.5715831174682142,1.0009473607618464
concat,160,unit,-60_to_-40,-60.0,-40.0,90.08085045049211,1.5722074333577045,1.0013213340545952,466582,0.13026090697168677,78581.05440779403,1.5728231815111042,1.0018854266360686
concat,160,unit,-40_to_-20,-40.0,-20.0,89.45175156688542,1.5612275865181473,0.9933262482470109,169184,0.3679348820840852,221960.00058451295,1.5592494117574103,0.9920829350232364
concat,160,unit,-20_to_-10,-20.0,-10.0,89.93960375096755,1.569742213393426,0.9994367920289373,21980,0.28522476403874236,172064.38387727737,1.5701492199726979,0.9994482845241659
concat,160,unit,-10_to_0,-10.0,inf,89.42239926672654,1.5607152922373413,0.9924813540530997,5631,0.19540946442986376,117882.50299453735,1.562867046780964,0.9935461033051226
concat,500,frequency,<-60,-inf,-60.0,42.722773971727186,0.7456530713919742,0.37197999890524674,4179486,0.020630091143270943,41507.6255873866,0.7274254282529503,0.3571746677837899
concat,500,frequency,-60_to_-40,-60.0,-40.0,40.085579803161934,0.6996253501361163,0.3379045063698772,1554606,0.1290330837737574,259613.8278048262,0.685448447982121,0.32879363742707685
concat,500,frequency,-40_to_-20,-40.0,-20.0,34.41744492227947,0.6006977340175806,0.2780173672467772,572005,0.37417670064211084,752841.3852326721,0.5722253478923772,0.2634449718118326
concat,500,frequency,-20_to_-10,-20.0,-10.0,20.570757694743076,0.35902745140322534,0.14167428636471902,76654,0.3007122722924489,605031.3748574257,0.31573632663295426,0.11647735846308281
concat,500,frequency,-10_to_0,-10.0,inf,8.074848750875308,0.14093269730332547,0.02366929271544738,17249,0.17544785214841183,353000.07675743103,0.12738715854566707,0.019546174566905546
