source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,gilbert,10,,masked_input,condition,0.19753545177613224,,0.8876002487136566,0.2043474096376284,3.252159008074459,3.1955481212751002,16.50213315556563,0.8899208230811608,0.293499583905859,
evaluate,gilbert,10,,reconstructed,condition,0.16745085432698958,0.8647423054186821,0.9197378037581118,0.019255458497931567,3.5256831659392205,3.1443616290167915,29.514006569418136,0.9412145354707577,0.2684451911724639,0.9958703862062673
evaluate,gilbert,20,,masked_input,condition,0.28398384648945796,,0.7812367231053107,0.40317224221467396,2.3304985167654877,2.9916221526520093,13.642473885829505,0.7854580132422871,0.39155519103226266,
evaluate,gilbert,20,,reconstructed,condition,0.26352748429672657,0.8647423054186821,0.844079870764763,0.03443225847792453,2.6957407963438946,2.915621753543272,26.042944970288204,0.8848071515308678,0.3760496274977369,0.9958703862062673
evaluate,gilbert,30,,masked_input,condition,0.4084049521969564,,0.6828202913817176,0.6042473096571329,1.8003655405539356,2.82462305566778,11.332977442444424,0.6882880027483909,0.5202791141548182,
evaluate,gilbert,30,,reconstructed,condition,0.3311066668887497,0.8647423054186821,0.7726068092726812,0.05020341434166111,2.149517007825457,2.7246300437169726,23.48735122036186,0.8330927951640711,0.46359205512463764,0.9958703862062673
evaluate,gilbert,40,,masked_input,condition,0.5300000358574822,,0.5634377533569175,0.8026301692017411,1.3768832830182163,2.5785535696461364,9.576702727105285,0.5700407533026725,0.672403838674957,
evaluate,gilbert,40,,reconstructed,condition,0.4120685175282042,0.8647423054186821,0.6898348904852306,0.06546461905861514,1.6733527684154188,2.5185549520877197,21.36716283643236,0.7706432807573015,0.5684243027465071,0.9958703862062673
evaluate,gilbert,50,,masked_input,condition,0.646854743893382,,0.4662860030657277,1.016203503980813,1.2175967220213515,2.393373443479991,8.256289862665742,0.476721868490586,0.7890122738171813,
evaluate,gilbert,50,,reconstructed,condition,0.5082422596080329,0.8647423054186821,0.6208391668122402,0.07799305334051866,1.4312488439096527,2.3709850428794272,20.02670589302781,0.7207402725911469,0.6880741141400837,0.9958703862062673
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.4133558060426822,,0.676276203924666,0.6061201269383979,1.99550061408669,2.7967440685442035,11.862115414722117,0.6820858921730195,0.5333500003170156,
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.3364791565297406,0.8647423054186822,0.7694197082186054,0.049469760743330204,2.295108516486729,2.734830684248837,24.087634297905673,0.830099607102829,0.4729170581362858,0.9958703862062673
