source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate_fused,single_gap,,160,masked_input,condition,0.33734883353785594,0.9358148839382386,0.05125719711184502,3.29038874822855,3.8353160953919097,23.373018417465,0.9326960302145175,0.5488521825396825
evaluate_fused,single_gap,,160,fused,condition,0.2991695736113872,0.9600061852497969,0.006768190935254097,3.8049659422934057,4.0245843544522915,33.831863113554896,0.9684389437095233,0.5053209325396826
evaluate_fused,single_gap,,500,masked_input,condition,0.44768711679470263,0.796745287511133,0.1656413209438324,2.404992395401001,3.8848671943028767,18.068891786817407,0.7857567261468227,0.6486914682539682
evaluate_fused,single_gap,,500,fused,condition,0.3143140324526348,0.8694615053682007,0.032821782529354096,2.9760480954945088,3.815920957962672,26.5245253752534,0.9154526752464138,0.5203402777777778
evaluate_fused,single_gap,,1000,masked_input,condition,0.6203973799404764,0.5813497990203919,0.3481417608261108,1.6473115219175816,3.7486329548517863,14.738256785333796,0.5609498292858657,0.7762118055555556
evaluate_fused,single_gap,,1000,fused,condition,0.3331361317340882,0.732857429623535,0.08272821009159088,2.080206172734499,3.488697444552184,21.913742716901233,0.8329332051981531,0.5427311507936509
evaluate_synth_gap,single_gap,,160,masked_input,condition,0.33649307330541944,0.9358148839382386,0.05125719687342644,3.29038874822855,3.835391771773497,23.373018417464994,0.9326960302145175,0.548030753968254
evaluate_synth_gap,single_gap,,160,video,condition,0.30874305673091057,0.946553103975143,0.28261088764667514,3.627811112880707,3.940558266131083,16.18326988607653,0.9579347901848353,0.5166780753968254
evaluate_synth_gap,single_gap,,500,masked_input,condition,0.44441079940927947,0.7967566652536937,0.16564131969213486,2.404992395401001,3.884826829745372,18.068891786817403,0.7857567261468228,0.6462748015873016
evaluate_synth_gap,single_gap,,500,video,condition,0.32325906794295906,0.8498533433424142,0.28261088764667514,2.813009592503309,3.6454254893879097,16.18326988607653,0.8989563398068648,0.5325034722222222
evaluate_synth_gap,single_gap,,1000,masked_input,condition,0.6306837800332896,0.5814134117826947,0.3481417596936226,1.6473115219175816,3.7483716413497925,14.738256785333796,0.5609498292858657,0.7847594246031746
evaluate_synth_gap,single_gap,,1000,video,condition,0.340732283032304,0.705915104538325,0.28261088764667514,1.982059825360775,3.2177648860037324,16.18326988607653,0.8100992960812787,0.5543382936507936
evaluate_fused,single_gap,,,masked_input,mean_over_gap_durations,0.4684777767576784,0.7713033234899211,0.18834675962726274,2.4475642218490443,3.822938748182191,18.726722329872068,0.759800861882402,0.6579184854497354
evaluate_fused,single_gap,,,fused,mean_over_gap_durations,0.31553991259937003,0.8541083734138443,0.040772727852066364,2.953740070174138,3.776400918989049,27.423377068569845,0.9056082747180301,0.5227974537037038
evaluate_synth_gap,single_gap,,,masked_input,mean_over_gap_durations,0.4705292175826628,0.7713283203248756,0.18834675875306128,2.4475642218490443,3.8228634142895537,18.726722329872064,0.759800861882402,0.6596883267195767
evaluate_synth_gap,single_gap,,,video,mean_over_gap_durations,0.32424480256872457,0.8341071839519607,0.28261088764667514,2.807626843581597,3.6012495471742416,16.18326988607653,0.888996808690993,0.5345066137566138
