dataset,gap_ms,method,retention_fraction,retention_percent,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,kept_frames_mean,reduced_region_frames_mean,effective_total_unique_frames_mean
grid,160,uniform,0.25,25.0,3.778898577541113,0.5482328651466094,0.016996868778549317,0.9661388144981825,0.030678490855638837,0.0009511255463639062,4000,4000,19.0,75.0,19.0
grid,160,uniform,0.5,50.0,3.7942360067367553,0.5446271710822359,0.01688508141087416,0.9669048270610762,0.030903021203403807,0.0009580866628900792,4000,4000,38.0,75.0,38.0
grid,160,uniform,0.75,75.0,3.7981063378751276,0.5402176675693073,0.01674837353115273,0.9672917756418993,0.030296104154791975,0.0009392704078084707,4000,4000,56.0,75.0,56.0
grid,160,local,0.25,25.0,3.7771126546263694,0.5440614925991609,0.01686754367543558,0.9658429681745965,0.031073286094641578,0.0009633653869468512,4000,4000,4.8055,19.811,59.9945
grid,160,local,0.5,50.0,3.779409598171711,0.5529365563922636,0.017142697363371238,0.9662188508519356,0.03107125016836611,0.0009633022671049976,4000,4000,9.60175,19.811,64.79075
grid,160,local,0.75,75.0,3.792678401470184,0.5391371149461063,0.016714873147807497,0.9669502532515581,0.030832558004117147,0.0009559020916464857,4000,4000,15.0055,19.811,70.1945
grid,160,uniform,1.0,100.0,3.8012262816429137,0.5387012465344387,0.01670135991525832,0.9677404321564392,0.030392864625609434,0.0009422702736136612,4000,4000,75.0,75.0,75.0
grid,160,local,1.0,100.0,3.8012262816429137,0.5387012465344387,0.01670135991525832,0.9677404321564392,0.030392864625609434,0.0009422702736136612,4000,4000,19.811,19.811,75.0
grid,500,uniform,0.25,25.0,2.8728988465964793,0.8150381528915772,0.02526863567455909,0.8990805752332143,0.047809651154355925,0.0014822430734820979,4000,4000,19.0,75.0,19.0
grid,500,uniform,0.5,50.0,2.951749515026808,0.7709157357864901,0.023900707953686255,0.9098138446515728,0.046044220094354084,0.0014275093973891806,4000,4000,38.0,75.0,38.0
grid,500,uniform,0.75,75.0,2.9541871407926084,0.772796649391358,0.023959021936225733,0.9116228805247872,0.045980814547044065,0.0014255436345975384,4000,4000,56.0,75.0,56.0
