method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,160,masked_input,0.3418205060971469,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5527619047619048
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,160,fused,0.31124068584368725,0.956916237021814,0.007528455369174481,3.7946753005981444,3.974854165299733,33.52657932345657,0.9659577712607039,0.5186190476190476
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,500,masked_input,0.4576437579313941,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6574047619047619
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,500,fused,0.33587830896171295,0.8627646010869326,0.039070890992879866,2.9261156811714173,3.6759300037066143,26.090294540175346,0.9102734034314648,0.545154761904762
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,1000,masked_input,0.6308315034096088,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7848095238095237
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),concat,,single_gap,,1000,fused,0.34269568402024947,0.7186057708050172,0.09386607080698013,2.0712752871513365,3.2389313012441,21.58740554434937,0.823280376078099,0.5611428571428572
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,masked_input,0.33976408416159454,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5509047619047619
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,160,fused,0.3163311615677799,0.9565832907134971,0.007749975807964802,3.772738610267639,3.9705530869166057,33.43338823003199,0.9657892730020174,0.5228571428571429
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,masked_input,0.4567725482272497,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.655452380952381
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,500,fused,0.33649085455792843,0.8616276877672736,0.03946250140666962,2.9178767092227935,3.659462846279144,26.009655576921062,0.9091108407268759,0.5493928571428571
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,masked_input,0.6155669888728379,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7700476190476191
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),temporal_self_cross_attention,,single_gap,,1000,fused,0.35988555904520286,0.7171674053138666,0.09696613997220993,2.0602087755203247,3.2159074633280436,21.444388941581995,0.8215308821411044,0.5794761904761905
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,160,masked_input,0.34253121646568335,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5536190476190475
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,160,fused,0.30579861404478254,0.9533123797058148,0.009009986594319343,3.7303070607185362,3.9724188217798875,32.99323211536079,0.9639371313570063,0.5128095238095238
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,500,masked_input,0.45279585325957644,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6496904761904762
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,500,fused,0.3384594913282575,0.8606431062622394,0.041514194756746295,2.876639978647232,3.6682302826881403,25.93875119904241,0.9100824815934917,0.5497261904761905
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,1000,masked_input,0.6272864903985762,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7818571428571429
global_local_affinity,av_plc_global_local_affinity_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid),global_local_affinity,,single_gap,,1000,fused,0.37283653072218803,0.7177281033066419,0.0946733719110489,2.0423696343898774,3.1914003096898393,21.573418645875616,0.8237375127608209,0.5844285714285713
