source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,gilbert,10,,masked_input,condition,0.2996009288633995,,0.8897643022969665,0.09967561775464387,2.915380308946015,3.156316965304404,19.268147920226816,0.8884691245710428,0.3892373543050792,
evaluate,gilbert,10,,reconstructed,condition,0.2810852713409672,0.984570684843794,0.9241026351682098,0.025119617481437085,3.461979385854536,3.1281451055706544,27.92868731624043,0.9457187919015895,0.3751278794651245,0.9910879578461815
evaluate,gilbert,20,,masked_input,condition,0.397297345151254,,0.7756467904837214,0.20568453593370317,1.9372714427053304,2.8472055990066036,16.528939114169248,0.7736583044196257,0.4901847590962407,
evaluate,gilbert,20,,reconstructed,condition,0.33930686021483625,0.984570684843794,0.84401953590839,0.05085176566934229,2.6078779797963576,2.831705824531024,23.617508998549148,0.8887416269909417,0.45403687741616183,0.9910879578461815
evaluate,gilbert,30,,masked_input,condition,0.4839498686779331,,0.6720864696849943,0.3001665756325455,1.4616278726814147,2.5479063095112533,14.526627707081882,0.6711733135996595,0.6014935555414811,
evaluate,gilbert,30,,reconstructed,condition,0.3986734120358751,0.984570684843794,0.7716675551217359,0.07279520155609745,2.0712889487484483,2.607854574224359,21.17395006866645,0.8372324082462255,0.5294885164138954,0.9910879578461815
evaluate,gilbert,40,,masked_input,condition,0.5846527216542168,,0.5629734414573685,0.40206832276320437,1.2128991424837523,2.2349306616140723,12.938892437677548,0.5630347869861664,0.7199610699866784,
evaluate,gilbert,40,,reconstructed,condition,0.46853012170913955,0.984570684843794,0.6952526987072059,0.09645104019304265,1.6818787284139693,2.4087214536714425,19.431390155157974,0.7816897371833643,0.6147480266969629,0.9910879578461815
evaluate,gilbert,50,,masked_input,condition,0.7139295141393461,,0.4571460997993074,0.5029208660894428,1.1113102150710767,1.9397060928499692,11.774339331336547,0.46127891217957484,0.858762690517184,
evaluate,gilbert,50,,reconstructed,condition,0.527798304846086,0.984570684843794,0.6197201261778773,0.12085762101679326,1.4456285443353936,2.25239611610318,18.182873474334905,0.7281221859175984,0.6963485914620043,0.9910879578461815
evaluate,gilbert,,,masked_input,mean_over_loss_rates,0.49588607569722987,,0.6715234207444716,0.30210318363470795,1.7276977963775177,2.5452131256572605,15.007389302098408,0.6715228883512138,0.6119278858893327,
evaluate,gilbert,,,reconstructed,mean_over_loss_rates,0.40307879402938085,0.9845706848437941,0.7709525102166838,0.07321504918334255,2.253730717429741,2.645764614820132,22.066882002589782,0.8363009500479439,0.5339499782908298,0.9910879578461815
