source,mask_type,loss_rate,gap_ms,output,summary,cer,cer_vsr,estoi,mse,pesq,plcmos,psnr,stoi,wer,wer_vsr
evaluate,single_gap,,20,masked_input,condition,0.21939905614992858,,0.993602979586681,0.006650757689176952,4.096356559236363,3.3608733222507348,30.860424931386163,0.9936476519460468,0.2950113564290228,
evaluate,single_gap,,20,reconstructed,condition,0.21795220634675957,0.984570684843794,0.9955373135729788,0.0027361113874989746,4.209356475912605,3.390483604698371,34.08736063856906,0.9967739251456512,0.2929315279108475,0.9910879578461815
evaluate,single_gap,,40,masked_input,condition,0.22200711194713044,,0.9862604385823706,0.013206109610910587,3.5142539370634953,3.248956062743305,27.824357829182045,0.9845789709121185,0.29950979187552185,
evaluate,single_gap,,40,reconstructed,condition,0.22356094451253003,0.984570684843794,0.9930241475153294,0.003279653898441983,4.140729998094014,3.3758786655601822,33.32562218544354,0.9951970830425808,0.3001836672823125,0.9910879578461815
evaluate,single_gap,,80,masked_input,condition,0.23250102930359087,,0.9694586523056098,0.02632533879611936,3.2336731342608886,3.2070327120915327,24.743298562164213,0.9668238431609051,0.3143192832249604,
evaluate,single_gap,,80,reconstructed,condition,0.22676795011574724,0.984570684843794,0.9852283791370072,0.005017059972269044,3.9988404980079704,3.338400585878316,31.578878034321647,0.9899301954700104,0.30579263435349496,0.9910879578461815
evaluate,single_gap,,160,masked_input,condition,0.25487819964608427,,0.9356024011794404,0.05274603203773068,2.8906096446935376,3.1417861314757074,21.623067895015836,0.9346622654329261,0.3436781188648197,
evaluate,single_gap,,160,reconstructed,condition,0.2406370267418717,0.984570684843794,0.9641157160018834,0.010606963548262556,3.696159092781007,3.235976845965362,28.494669675813746,0.9752461047107741,0.32666995132436416,0.9910879578461815
evaluate,single_gap,,320,masked_input,condition,0.30868265565401604,,0.8688906348182561,0.10516390324346116,2.3571690571409603,3.1853588449484547,18.52891986174102,0.868530364678078,0.40970741771711566,
evaluate,single_gap,,320,reconstructed,condition,0.28843830290356515,0.984570684843794,0.9120898111755064,0.026082819028881706,3.1745676946972092,3.0227575538656732,24.618525782859017,0.9379556014823036,0.390823898276144,0.9910879578461815
evaluate,single_gap,,500,masked_input,condition,0.3621343438452886,,0.7984084914775438,0.16456024834935679,1.9814797017049752,3.254316657981973,16.53133839679863,0.7970257617441869,0.46703566094652366,
evaluate,single_gap,,500,reconstructed,condition,0.33868053831929223,0.984570684843794,0.8517589632986576,0.04486115505500402,2.7037279060245454,2.8354707799387473,22.21544196282719,0.8945484768554263,0.4454101470095263,0.9910879578461815
evaluate,single_gap,,750,masked_input,condition,0.43726550187254243,,0.7030552761268068,0.24493134537553676,1.6255025925911792,3.311829291884564,14.762460741250374,0.7007318577784928,0.5373281031330637,
evaluate,single_gap,,750,reconstructed,condition,0.40766561116387734,0.984570684843794,0.7673575097667873,0.07275420058732922,2.202666831825208,2.655025120510628,20.084923996899015,0.8332708094860586,0.5157928854627143,0.9910879578461815
evaluate,single_gap,,1000,masked_input,condition,0.5089202097949931,,0.6076591526738186,0.3270874123291038,1.413309532325539,3.348989053206476,13.485382600912937,0.6064453006534911,0.6110669693093795,
evaluate,single_gap,,1000,reconstructed,condition,0.4759709759600137,0.984570684843794,0.6829022974609485,0.10057420880832345,1.8521034601640542,2.518994439985754,18.65198868366844,0.7714180721841579,0.5873473393313697,0.9910879578461815
evaluate,single_gap,,1250,masked_input,condition,0.5796814596788186,,0.5126169835484711,0.40869098719567837,1.2808955976850507,3.391324176927515,12.507753240152477,0.5103808939717946,0.6792263785960638,
evaluate,single_gap,,1250,reconstructed,condition,0.5464884734950514,0.984570684843794,0.5977576663671725,0.1294936716694914,1.6015907146741903,2.404056304389331,17.548862020070178,0.7093978893628925,0.666490797040195,0.9910879578461815
evaluate,single_gap,,1500,masked_input,condition,0.6539875898516792,,0.4181958516116888,0.489979871960685,1.1990248709571156,3.4202114290613452,11.713338823437716,0.41701943374349987,0.7533002390745893,
evaluate,single_gap,,1500,reconstructed,condition,0.6188692605579438,0.984570684843794,0.5130577414900631,0.15769374845628736,1.4250622812945848,2.306226834055994,16.671655331997542,0.647492164573409,0.7392986120413281,0.9910879578461815
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.37794571577440716,,0.7793750861910687,0.18393420065877594,2.3592274627659107,3.287067768257161,19.25803428820414,0.777984634402154,0.471018331917106,
evaluate,single_gap,,,reconstructed,mean_over_gap_durations,0.35850312901166526,0.9845706848437941,0.8262829545786335,0.05530995924117897,2.900480495347539,2.908327073484836,24.727792831246937,0.8751230322313264,0.45707414600322965,0.9910879578461815
