method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,160,masked_input,0.34661879240021587,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5542380952380952
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,160,fused,0.31639858420164557,0.9594060879765037,0.007706323005259037,3.8026644678115846,3.9314599433263138,33.44512913513083,0.971978098449724,0.524
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,500,masked_input,0.45816201880498114,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.658452380952381
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,500,fused,0.35346904437327725,0.8663957126152257,0.039169710725545884,2.9125010633468627,3.3622581522941593,26.033289721913636,0.9177282401689458,0.5637738095238095
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,1000,masked_input,0.6293285970519873,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7825238095238095
temporal_self_cross_attention,av_plc_temporal_self_cross_attention_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,temporal_self_cross_attention,,single_gap,,1000,fused,0.3748173670794697,0.7244859184830125,0.09619307577610016,2.0221702778339385,2.788582825104396,21.475417091870927,0.8324028096236289,0.5914761904761905
