method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,160,masked_input,0.341891858641543,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5538095238095239
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,160,fused,0.3114284996446345,0.9591716300542683,0.007507893219590187,3.7833195815086365,3.9469244151115412,33.5327760174963,0.9716808526332271,0.519
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,500,masked_input,0.4545070253966182,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.653547619047619
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,500,fused,0.3491768913281016,0.865977386857673,0.03896827891469002,2.8850806982517243,3.4085044474919637,26.100015946184254,0.9179321681775927,0.5594404761904761
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,1000,masked_input,0.703109414582505,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.8300952380952381
concat,av_plc_concat_shared_decoder_v1_frozen_enc_fused_l1_ge_train_no_jitter(grid)_phase_reconstruction,concat,,single_gap,,1000,fused,0.35859896066475544,0.7241790902272783,0.09367436379194259,2.0142161891460417,2.850632037480672,21.5947904237908,0.833421433237874,0.5760952380952381
