dataset,gap_ms,method,retention_fraction,retention_percent,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,kept_frames_mean,reduced_region_frames_mean,effective_total_unique_frames_mean
voxceleb2,160,uniform,0.25,25.0,3.7163570496203944,0.34763995349106636,0.0077394604892823465,0.9766652127905739,0.014249574984992344,0.00031723632878764726,7754,7754,19.0,75.0,19.0
voxceleb2,160,uniform,0.5,50.0,3.741792696359264,0.3358121827231237,0.00747614045481705,0.9780199164881832,0.013043921055862117,0.0002903950211227871,7754,7754,38.0,75.0,38.0
voxceleb2,160,uniform,0.75,75.0,3.746880442419094,0.3306939167088921,0.007362193202227168,0.9782782722294175,0.012921070695153207,0.00028766002043241,7754,7754,56.0,75.0,56.0
voxceleb2,160,local,0.25,25.0,3.7040340660434423,0.3514250748371051,0.007823728125411687,0.9758663739448726,0.014842558996144565,0.0003304378503015048,7754,7754,4.790430745421718,19.76218725818932,60.028243487232395
voxceleb2,160,local,0.5,50.0,3.7302084522269454,0.3414191988134531,0.007600968683155283,0.9773069782502117,0.01360108708603502,0.00030279913185053827,7754,7754,9.57338148052618,19.76218725818932,64.81119422233685
voxceleb2,160,local,0.75,75.0,3.743229100422543,0.33538599162626964,0.0074666522210226835,0.9781088702961213,0.013047922225598111,0.00029048409861451844,7754,7754,14.971756512767604,19.76218725818932,70.20956925457828
voxceleb2,160,uniform,1.0,100.0,3.7558269157586777,0.32921456657061915,0.007329258633487293,0.9787078074304084,0.012601130027118912,0.00028053722532701467,7754,7754,75.0,75.0,75.0
voxceleb2,160,local,1.0,100.0,3.7558269157586777,0.32921456657061915,0.007329258633487293,0.9787078074304084,0.012601130027118912,0.00028053722532701467,7754,7754,19.76218725818932,19.76218725818932,75.0
voxceleb2,500,uniform,0.25,25.0,2.692707847082218,0.41123347189245696,0.009155234246295751,0.8889503740692489,0.03377902273110707,0.0007520177389526997,7754,7754,19.0,75.0,19.0
voxceleb2,500,uniform,0.5,50.0,2.77557966954812,0.4061175666801509,0.00904133955191456,0.9037088866188546,0.030794505079083826,0.0006855738327922037,7754,7754,38.0,75.0,38.0
voxceleb2,500,uniform,0.75,75.0,2.7906574793227223,0.4018273812944565,0.00894582774450911,0.9059948807087982,0.030350251265024077,0.0006756834712080402,7754,7754,56.0,75.0,56.0
voxceleb2,500,local,0.25,25.0,2.6697730671845976,0.41220927054167555,0.0091769583174656,0.8857657232747855,0.034880217846593266,0.0007765334944109259,7754,7754,7.054681454733041,28.210600980139283,53.84408047459376
voxceleb2,500,local,0.5,50.0,2.7537461480191605,0.4065943912947134,0.009051955032752317,0.9000890268753124,0.031609799377802034,0.0007037246176738065,7754,7754,13.861877740521022,28.210600980139283,60.65127676038174
voxceleb2,500,local,0.75,75.0,2.785048148313502,0.4057538679684255,0.009033242577498546,0.9055287081977541,0.030614235733591795,0.0006815605211378509,7754,7754,21.15591952540624,28.210600980139283,67.94531854526696
voxceleb2,500,uniform,1.0,100.0,2.814394520950711,0.40345879569787246,0.0089821476990773,0.9097827887489794,0.030086179103143786,0.0006698044689740682,7754,7754,75.0,75.0,75.0
voxceleb2,500,local,1.0,100.0,2.814394520950711,0.40345879569787246,0.0089821476990773,0.9097827887489794,0.030086179103143786,0.0006698044689740682,7754,7754,28.210600980139283,28.210600980139283,75.0
voxceleb2,1000,uniform,0.25,25.0,1.8505134637250646,0.300077689181497,0.006680588338057716,0.7549341166121202,0.05040073014376754,0.0011220645258448255,7754,7754,19.0,75.0,19.0
voxceleb2,1000,uniform,0.5,50.0,1.9383863893740874,0.3137798654468511,0.0069856380044091846,0.7922107903619782,0.04820272082123786,0.0010731305464907238,7754,7754,38.0,75.0,38.0
voxceleb2,1000,uniform,0.75,75.0,1.9513443257041834,0.3174688999947353,0.007067766473361708,0.797479936393198,0.04795175649785676,0.001067543362263128,7754,7754,56.0,75.0,56.0
voxceleb2,1000,local,0.25,25.0,1.8334762595780338,0.2975809217178716,0.006625003147283171,0.7490671976997192,0.051122618988819625,0.001138135837953311,7754,7754,9.796879030177973,40.42713438225432,44.36974464792365
voxceleb2,1000,local,0.5,50.0,1.9190570024414595,0.31207408648409435,0.006947662481880402,0.7851556621620611,0.048521594066779895,0.0010802295777159285,7754,7754,20.153985039979364,40.42713438225432,54.726850657725045
voxceleb2,1000,local,0.75,75.0,1.9491289644657044,0.31542797258592115,0.007022329587056243,0.7970071642284499,0.0479192778611732,0.001066820294839968,7754,7754,30.630255352076347,40.42713438225432,65.20312096982202
voxceleb2,1000,uniform,1.0,100.0,1.9752656892153415,0.32373081524659003,0.007207174631694146,0.8062383944907933,0.047708416356369916,0.0010621259141488325,7754,7754,75.0,75.0,75.0
voxceleb2,1000,local,1.0,100.0,1.9752656892153415,0.32373081524659003,0.007207174631694146,0.8062383944907933,0.047708416356369916,0.0010621259141488325,7754,7754,40.42713438225432,40.42713438225432,75.0
