source,mask_type,loss_rate,gap_ms,output,summary,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
evaluate,single_gap,,20,masked_input,condition,0.29748016373239805,0.9902993672998753,0.006313401609659195,4.147295276224614,4.1118570621411,32.674753980058114,0.9862170569654602,0.5056855158730159
evaluate,single_gap,,20,fused,condition,0.29560349193494057,0.990014741013243,0.0004334828187711537,4.179415730416775,4.100855073670546,44.60974985663528,0.9844810415426076,0.503828373015873
evaluate,single_gap,,40,masked_input,condition,0.29838723857969507,0.9833956765490374,0.01251258298754692,3.777277881652117,4.027940575909615,29.65685839802999,0.9783487318515474,0.5071855158730159
evaluate,single_gap,,40,fused,condition,0.2964540508128446,0.986699094408453,0.0009494847478345036,4.129428079783916,4.0921680090904236,41.78767353910312,0.9823386351284618,0.5036140873015873
evaluate,single_gap,,80,masked_input,condition,0.31364777177163156,0.9679197784534848,0.02564790576696396,3.569694505870342,3.997475553743045,26.487510721348524,0.9630589531573606,0.5230739087301587
evaluate,single_gap,,80,fused,condition,0.2975665865509546,0.9783480748946338,0.0024850723892450334,4.02237647229433,4.064329518441359,37.99830795357566,0.9778735204648786,0.5041274801587302
evaluate,single_gap,,160,masked_input,condition,0.33483197926299557,0.9358148839382388,0.05125719711184502,3.29038874822855,3.8355067160884535,23.373018417465,0.9326960302145175,0.5463303571428572
evaluate,single_gap,,160,fused,condition,0.2985124896118503,0.9590454230026237,0.006815895996987819,3.8034104287624357,4.037428040273984,33.81807915425869,0.9675525402892432,0.5044042658730159
evaluate,single_gap,,320,masked_input,condition,0.3913764775713154,0.8714937564295675,0.10369430065155029,2.8222583679258824,3.8643494310975073,20.182694974246846,0.864899854461348,0.5996701388888889
evaluate,single_gap,,320,fused,condition,0.3054487209394214,0.9167633194211997,0.01808732233941555,3.39560660725832,3.958337966469924,29.45949167091677,0.9431797544776149,0.5109890873015873
evaluate,single_gap,,500,masked_input,condition,0.44596637047507737,0.7967578278301116,0.1656413209438324,2.404992395401001,3.884810841302077,18.068891786817407,0.7857567261468227,0.6479295634920635
evaluate,single_gap,,500,fused,condition,0.3172466897699768,0.86797094328695,0.03355155527591705,2.9723480551838874,3.875177228558064,26.461254399294162,0.914175867561992,0.5220629960317459
evaluate,single_gap,,750,masked_input,condition,0.5369281485447988,0.6901586980844441,0.25575959324836733,1.9742145510017872,3.847545484896501,16.118383197918536,0.6758908259213146,0.7150337301587303
evaluate,single_gap,,750,fused,condition,0.3219764338263801,0.8007851297444738,0.056617366820573806,2.495130271613598,3.7440915746808057,23.86162625008586,0.8744027827973376,0.5283477182539682
evaluate,single_gap,,1000,masked_input,condition,0.6166304209562605,0.5813621278375328,0.3481417608261108,1.6473115219175816,3.7480589249253273,14.738256785333796,0.5609498292858657,0.7726046626984127
evaluate,single_gap,,1000,fused,condition,0.3355701615234165,0.7311348663267314,0.08384418576955795,2.0919881759881975,3.621388102821509,21.851901455289063,0.831669548870592,0.5415481150793651
evaluate,single_gap,,1250,masked_input,condition,0.694666774775454,0.4758635054323238,0.43470770716667173,1.4448034454882146,3.6612440132121247,13.734047131796206,0.4494432190070863,0.8255203373015874
evaluate,single_gap,,1250,fused,condition,0.3436504952304719,0.6601600935631584,0.11024474203586579,1.7957719660103322,3.5086441017409165,20.422415286033413,0.7869559909148253,0.5501646825396825
evaluate,single_gap,,1500,masked_input,condition,0.7674903425310977,0.37321203547714116,0.5190058779716492,1.3245280553400516,3.5709148038089276,12.937551830588161,0.34166759411941405,0.8794211309523811
evaluate,single_gap,,1500,fused,condition,0.3511516487474512,0.5883702279703461,0.1369868564605713,1.5883820856809616,3.4072628019034865,19.34874277422088,0.7417400727595941,0.5545332341269842
evaluate,single_gap,,,masked_input,mean_over_gap_durations,0.46974056882007237,0.7666277657331757,0.19226816482841969,2.640276474905014,3.8549703407124682,20.79719672236026,0.7538928821130737,0.6522454861111111
evaluate,single_gap,,,fused,mean_over_gap_durations,0.31631807689477076,0.8479291913631813,0.04500159646547399,3.0473857872992753,3.840968241765102,29.96192423394129,0.9004369754807147,0.5223620039682539
