method,model_name,fusion_type,local_radius,condition,loss_rate,gap_ms,output,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,160,masked_input,0.35224161624303973,0.9331969972711763,0.0515672504901886,3.2601279356479647,3.8202308573722843,23.324713640995743,0.9314541721774351,0.5594285714285714
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,160,fused,0.3080184849489076,0.9569151372339496,0.007426578514277935,3.782850221633911,3.978373195171356,33.588720309117996,0.9650981967485098,0.5199523809523808
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,500,masked_input,0.4871482900257088,0.7977093649364708,0.16444931387901307,2.3856501507759096,3.898428497314453,18.112940298156943,0.7871139012845719,0.6802142857142858
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,500,fused,0.3304528151410869,0.8625770550777098,0.03922497898340225,2.9286497814655306,3.671314549795787,26.04187687628202,0.9103622024347048,0.5454404761904762
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,1000,masked_input,0.6257834430599967,0.5825864398734998,0.3469975459575653,1.6877505447864531,3.7538064712524415,14.763455831926619,0.5644752189691878,0.7846190476190477
concat,av_plc_concat_frozen_enc_fused_l1_ge_train_v2(grid),concat,,single_gap,,1000,fused,0.346741463836448,0.7185143301979322,0.09581184953451156,2.0686143312454224,3.2336350832144416,21.493068040596476,0.8219151393164621,0.5652857142857143
