method,gap_ms,condition,comparison,cer,estoi,mse,pesq,plcmos,psnr,stoi,wer
concat,160,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.31124124953134624,0.9559841965311584,0.007644632585346698,3.7283260805606844,3.953578918933869,33.6685005557643,0.9663546379181261,0.5229047619047618
concat,160,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.31001989929570806,0.9575313414826895,0.007644632585346698,3.7497236704826356,3.798557032775878,33.6685005557643,0.970669642739479,0.5209999999999999
concat,160,G_SAME_MEL_ROTATION_CORRECTED_LEARNED_PHASE,,0.31116820647744853,0.9597690252886539,0.007644632585346698,3.7904938507080077,3.9091711323420206,33.6685005557643,0.9724528092420068,0.521238095238095
concat,160,C_SAME_MEL_GT_PHASE,,0.3071151726130953,0.9699415077616902,0.007644632585346698,4.027363157510758,4.092608323764801,33.6685005557643,0.9774645309648796,0.5169047619047619
concat,160,G_minus_B,benefit from removing only oracle frame-common rotation,0.001148307181740471,0.002237683805964452,0.0,0.040770180225372155,0.11061409956614243,0.0,0.0017831665025278554,0.0002380952380950374
concat,160,C_minus_B,full GT-phase headroom with identical Mel,-0.0029047266826127682,0.012410166279000712,0.0,0.277639487028122,0.2940512909889228,0.0,0.0067948882254006415,-0.004095238095238041
concat,160,C_minus_G,residual phase headroom after common rotation is removed,-0.004053033864353239,0.01017248247303626,0.0,0.23686930680274987,0.18343719142278037,0.0,0.005011721722872786,-0.004333333333333078
concat,160,G_minus_A2,rotation-corrected learned phase vs Griffin-Lim with identical Mel,-7.304305389771448e-05,0.0037848287574955286,0.0,0.06216777014732333,-0.044407786591848186,0.0,0.006098171323880686,-0.0016666666666668162
concat,500,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3382851537624828,0.8616203784446765,0.038835119187831876,2.882413922071457,3.6005746184031153,26.09558680563006,0.9109929850920804,0.5516190476190476
concat,500,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3464909640737433,0.8660037653967447,0.038835119187831876,2.8646264963150023,3.206542120774587,26.09558680563006,0.9179687754981727,0.5577738095238095
concat,500,G_SAME_MEL_ROTATION_CORRECTED_LEARNED_PHASE,,0.3422846369475962,0.8676710838207234,0.038835119187831876,2.9075347719192504,3.2584310207049056,26.09558680563006,0.9190348242461234,0.5562499999999999
concat,500,C_SAME_MEL_GT_PHASE,,0.34059599897706533,0.900932029483343,0.038835119187831876,3.2503603987693785,3.7444878722826633,26.09558680563006,0.9335171929814583,0.5530119047619049
concat,500,G_minus_B,benefit from removing only oracle frame-common rotation,-0.0042063271261471025,0.0016673184239787142,0.0,0.042908275604248036,0.051888899930318644,0.0,0.0010660487479506875,-0.0015238095238095939
concat,500,C_minus_B,full GT-phase headroom with identical Mel,-0.005894965096677973,0.034928264086598326,0.0,0.3857339024543762,0.5379457515080763,0.0,0.015548417483285615,-0.004761904761904634
concat,500,C_minus_G,residual phase headroom after common rotation is removed,-0.0016886379705308707,0.03326094566261961,0.0,0.3428256268501282,0.4860568515777577,0.0,0.014482368735334927,-0.00323809523809504
concat,500,G_minus_A2,rotation-corrected learned phase vs Griffin-Lim with identical Mel,0.003999483185113395,0.006050705376046905,0.0,0.02512084984779328,-0.3421435976982097,0.0,0.008041839154042996,0.004630952380952347
concat,1000,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3527624919022225,0.7182990741706949,0.09247389495372772,2.0415519816875456,3.104125989580154,21.63219136535606,0.8235365918166023,0.5746666666666665
concat,1000,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.35055554167229247,0.7276192518370032,0.09247389495372772,2.021704362630844,2.7423648545742036,21.63219136535606,0.8351629003323291,0.5743809523809524
concat,1000,G_SAME_MEL_ROTATION_CORRECTED_LEARNED_PHASE,,0.35627191515603507,0.7287275869713382,0.09247389495372772,2.035303508758545,2.6158277698516845,21.63219136535606,0.835109602006489,0.575952380952381
concat,1000,C_SAME_MEL_GT_PHASE,,0.3464824529761998,0.7934781691880762,0.09247389495372772,2.3896437532901764,3.2309749500592546,21.63219136535606,0.8641776735396562,0.5646666666666667
concat,1000,G_minus_B,benefit from removing only oracle frame-common rotation,0.005716373483742598,0.001108335134335059,0.0,0.013599146127700745,-0.12653708472251912,0.0,-5.329832584011207e-05,0.001571428571428557
concat,1000,C_minus_B,full GT-phase headroom with identical Mel,-0.004073088696092686,0.06585891735107308,0.0,0.36793939065933223,0.48861009548505097,0.0,0.02901477320732715,-0.009714285714285786
concat,1000,C_minus_G,residual phase headroom after common rotation is removed,-0.009789462179835284,0.06475058221673802,0.0,0.3543402445316315,0.6151471802075701,0.0,0.02906807153316726,-0.011285714285714343
concat,1000,G_minus_A2,rotation-corrected learned phase vs Griffin-Lim with identical Mel,0.0035094232538125936,0.010428512800643275,0.0,-0.006248472929000659,-0.48829821972846954,0.0,0.011573010189886657,0.0012857142857144455
temporal_self_cross_attention,160,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.31210458775511923,0.9554727493862355,0.007760635562241078,3.727832981824875,3.959443233776091,33.61864159334934,0.9660725618920671,0.5207142857142856
temporal_self_cross_attention,160,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.31287070343298895,0.9564070550386681,0.007760635562241078,3.7350848898887636,3.7845214886983234,33.61864159334934,0.96998018005289,0.5218571428571429
temporal_self_cross_attention,160,G_SAME_MEL_ROTATION_CORRECTED_LEARNED_PHASE,,0.3137712163256158,0.9587126412480674,0.007760635562241078,3.7783923759460447,3.9044634346326204,33.61864159334934,0.9717998674153597,0.5237142857142857
temporal_self_cross_attention,160,C_SAME_MEL_GT_PHASE,,0.31226461795036675,0.9694459000860567,0.007760635562241078,4.016000539779663,4.093075923792521,33.61864159334934,0.9771020238715544,0.5212380952380951
temporal_self_cross_attention,160,G_minus_B,benefit from removing only oracle frame-common rotation,0.0009005128926268258,0.0023055862093993573,0.0,0.043307486057281075,0.11994194593429697,0.0,0.0018196873624697352,0.0018571428571427795
temporal_self_cross_attention,160,C_minus_B,full GT-phase headroom with identical Mel,-0.0006060854826221984,0.013038845047388614,0.0,0.2809156498908991,0.308554435094198,0.0,0.007121843818664431,-0.0006190476190478522
temporal_self_cross_attention,160,C_minus_G,residual phase headroom after common rotation is removed,-0.0015065983752490242,0.010733258837989257,0.0,0.23760816383361805,0.18861248915990103,0.0,0.0053021564561946954,-0.0024761904761906317
temporal_self_cross_attention,160,G_minus_A2,rotation-corrected learned phase vs Griffin-Lim with identical Mel,0.0016666285704965422,0.003239891861831934,0.0,0.05055939412116972,-0.05497979914347084,0.0,0.005727305523292592,0.0030000000000001137
temporal_self_cross_attention,500,A2_PHASE_MODEL_MEL_GRIFFIN_LIM,,0.3458887347671557,0.8613866051066249,0.03909549525380135,2.8666507844924927,3.6236858023325604,26.095341711964362,0.9107491339827593,0.5556309523809525
temporal_self_cross_attention,500,B_PHASE_MODEL_MEL_LEARNED_PHASE,,0.3503222341629074,0.862996375554167,0.03909549525380135,2.8383937742710112,3.192015271965662,26.095341711964362,0.9162200702931625,0.5617261904761904
temporal_self_cross_attention,500,G_SAME_MEL_ROTATION_CORRECTED_LEARNED_PHASE,,0.3492810391237607,0.8649428675136721,0.03909549525380135,2.8901030168533324,3.257199208005269,26.095341711964362,0.917326339416532,0.5637738095238094
temporal_self_cross_attention,500,C_SAME_MEL_GT_PHASE,,0.34404149210892204,0.9004208750698526,0.03909549525380135,3.238814131259918,3.7543425250689184,26.095341711964362,0.9329800613451215,0.5582499999999999
