method,gap_ms,R_temporal_after_mean,R_temporal_after_median,R_temporal_after_p10,R_temporal_after_p25,R_temporal_after_p75,R_temporal_after_p90,R_temporal_after_std,R_temporal_mean,R_temporal_median,R_temporal_p10,R_temporal_p25,R_temporal_p75,R_temporal_p90,R_temporal_std,beta_abs_deg_mean,beta_abs_deg_median,beta_abs_deg_p10,beta_abs_deg_p25,beta_abs_deg_p75,beta_abs_deg_p90,beta_abs_deg_std,beta_after_abs_deg_mean,beta_after_abs_deg_median,beta_after_abs_deg_p10,beta_after_abs_deg_p25,beta_after_abs_deg_p75,beta_after_abs_deg_p90,beta_after_abs_deg_std,beta_minus_delta_alpha_abs_deg_mean,beta_minus_delta_alpha_abs_deg_median,beta_minus_delta_alpha_abs_deg_p10,beta_minus_delta_alpha_abs_deg_p25,beta_minus_delta_alpha_abs_deg_p75,beta_minus_delta_alpha_abs_deg_p90,beta_minus_delta_alpha_abs_deg_std,delta_alpha_abs_deg_mean,delta_alpha_abs_deg_median,delta_alpha_abs_deg_p10,delta_alpha_abs_deg_p25,delta_alpha_abs_deg_p75,delta_alpha_abs_deg_p90,delta_alpha_abs_deg_std,energy_valid_pair_flag_mean,energy_valid_pair_flag_median,energy_valid_pair_flag_p10,energy_valid_pair_flag_p25,energy_valid_pair_flag_p75,energy_valid_pair_flag_p90,energy_valid_pair_flag_std,kind_internal_count,kind_left_boundary_count,kind_right_boundary_count
concat,160,0.4335213697931375,0.4176741987466812,0.1138807013630867,0.21329328045248985,0.6410723924636841,0.7839204847812653,0.24857517039727747,0.43352136080149917,0.4176742434501648,0.11388069242238999,0.21329328790307045,0.6410724371671677,0.7839204847812653,0.2485751651569517,70.09923808079444,55.52011815908118,6.4928395101600636,18.2739013318969,121.07512292598842,153.73995075228947,55.84226014619953,32.876086428533156,15.201712125302784,1.4230971702958135,4.539128251266502,44.18678441550538,97.0808514208034,41.40940861918183,32.876086158531336,15.201718101718306,1.4230973410505428,4.539121634520743,44.18678526927903,97.0808514208034,41.40940826906415,70.79134177471404,59.099369510599644,6.967860383914232,20.116151480776963,118.8192753676733,154.9804742980282,55.04785990732897,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7500,498,500
concat,500,0.4302969441274787,0.41612595319747925,0.10625748336315155,0.20190012827515602,0.6433748453855515,0.7867116034030914,0.25237131638064103,0.4302969347193596,0.41612596809864044,0.10625748336315155,0.2019001580774784,0.6433747857809067,0.7867115437984467,0.2523713104713246,68.4486598121572,54.644148105574345,6.700761780996064,18.36504764504978,116.48136650157504,150.0927444826807,54.350634918680896,36.50091557936495,18.47581623791446,1.85563475833235,5.811293779585395,50.744207419692735,104.91711174612392,42.97812118497149,36.50091543746529,18.47581026149894,1.8556330507850574,5.811293459420277,50.74421595742919,104.91710833102934,42.97812081044855,69.21784554530983,57.99480497840352,7.328936413396252,20.3268137246872,113.8986687782654,150.6971547525243,53.36480140780628,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24500,498,498
concat,1000,0.4005819294377467,0.3676011860370636,0.09592017978429794,0.1818763166666031,0.6025769710540771,0.7643430829048158,0.24732059018964836,0.40058192096039774,0.3676011562347412,0.09592017829418183,0.18187633156776428,0.6025769710540771,0.7643430829048158,0.2473205851362901,70.48171943016887,59.58115397917942,7.66489975829084,20.78571705954743,117.0460148251654,150.80949497191702,53.63135332981114,40.49253189651985,22.156744346738673,2.3903354771765635,7.4190539293054005,58.06110220958225,114.45162757460078,44.809185995141846,40.492531810005794,22.156744346738673,2.390337099346491,7.4190539293054005,58.061088549203916,114.45159888780627,44.8091858667705,70.8237121236574,60.64931360309937,8.12798999911229,22.63762381525342,114.98154233720487,151.329239582847,52.973394420677806,1.0,1.0,1.0,1.0,1.0,1.0,0.0,49500,499,500
global_local_affinity,160,0.4329495163101715,0.418832466006279,0.11257063001394273,0.21291374415159225,0.640140175819397,0.7864092469215394,0.2486494037164003,0.43294950861199255,0.4188324213027954,0.11257060617208481,0.21291376277804375,0.6401400864124298,0.78640918135643,0.24864940007093578,70.06391374824621,55.48641629816905,6.518157954196242,18.28864130701261,120.98473220251248,153.92632749020945,55.87065449553909,33.65864260702516,15.829451760030206,1.5087647432555042,4.711205369173158,45.729332266907626,99.82276324423223,42.073888214463985,33.6586425178108,15.82944834493562,1.5087601862386673,4.711203341460748,45.729333120681275,99.82276665932682,42.073887718092216,71.00470741913419,60.17278154999134,7.058668560014516,21.09169459332519,116.90991989085832,153.54794047434208,54.32837371380777,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7500,498,500
global_local_affinity,500,0.4298367747687278,0.4152681231498718,0.10574312880635262,0.2022884413599968,0.6419549733400345,0.7866977453231812,0.2520900890856106,0.429836765877567,0.41526809334754944,0.10574313625693321,0.2022884413599968,0.6419549882411957,0.7866976857185364,0.25209008402561056,68.54234150594047,54.40805407917639,6.753733953434333,18.27090629394585,116.80979956290969,150.25875906064704,54.367372991934175,36.600679061990526,18.258241415677354,1.923512964860525,5.964178386089433,51.00157748535528,106.8937958126823,43.23207419239664,36.600679049289084,18.258249099640167,1.9235178740589909,5.964183615453017,51.00157407026069,106.89378215230394,43.23207400683739,68.90007459415861,57.474453846675274,7.340501631208376,20.479543584717852,113.1113648254691,149.95816926546394,53.13482290843286,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24500,498,498
global_local_affinity,1000,0.3997330080640888,0.36631810665130615,0.09537985473871231,0.18227504193782806,0.6000204384326935,0.763571858406067,0.24674468611809605,0.3997329996825199,0.366318017244339,0.09537984579801559,0.18227503448724747,0.6000204682350159,0.7635717988014222,0.24674468091588597,70.54991544496669,59.52994805097183,7.6105789223122695,20.855687224952334,117.09390811162554,151.12597861729873,53.723016727323724,41.06187439896761,22.64426105157938,2.438024498291827,7.458895703394554,59.661439437778334,115.50173910665792,45.00901482807759,41.06187438328649,22.644262759126672,2.438023729895545,7.458900399149608,59.66142919249458,115.50173637458226,45.009014642115936,70.75354456367529,60.85597463681645,8.31003708011739,22.862016873829496,114.1718336563836,151.06985358685097,52.698128770637155,1.0,1.0,1.0,1.0,1.0,1.0,0.0,49500,499,500
temporal_self_cross_attention,160,0.43017229171053684,0.4125448018312454,0.1114723339676857,0.21337586641311646,0.6338387578725815,0.7816985726356507,0.2473038393469248,0.4301722831091734,0.41254477202892303,0.1114723414182663,0.21337587013840675,0.6338387876749039,0.781698590517044,0.24730383423899624,69.57150988555756,54.84311663873869,6.569770150593397,18.09815330747648,120.21590220387374,153.7927686051412,55.72429377837884,33.436785321320144,15.333611615912192,1.3812788248382224,4.69633401963763,45.83547682170421,97.78831899993872,41.63684002509222,33.43678495821931,15.333607347043962,1.3812785473617875,4.696335620463217,45.83547169906234,97.7883381244684,41.636839652289225,70.5298544374751,58.727551087657076,6.9048594020289515,20.246373733058313,117.30665825898768,154.40794871726806,54.74865922986364,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7500,498,500
temporal_self_cross_attention,500,0.42662254795286825,0.4099051356315613,0.10678667575120926,0.2022399604320526,0.6354326754808426,0.7832029163837433,0.25032904816117246,0.4266225388503998,0.4099051356315613,0.10678667575120926,0.202239990234375,0.6354326009750366,0.7832029163837433,0.2503290428196534,67.83178349914829,53.83072550939189,6.71490560866328,18.071617168777333,115.48761837356778,148.8404019776022,54.044324007123365,37.300354803450375,19.110695127871843,1.8839113146093793,6.007338564898156,52.17114322033512,108.12383775012071,43.595522790969014,37.30035485740359,19.11068829768267,1.8839147297039647,6.007344327870268,52.17114492788241,108.12383091993155,43.59552269246814,68.70685338260895,56.91191263644385,7.409521546545001,20.158201113515325,113.61362961627515,149.72174909753312,53.14913583002772,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24500,498,498
temporal_self_cross_attention,1000,0.3971190602279992,0.36339759826660156,0.09624798744916917,0.18171387165784836,0.5943886339664459,0.7587280273437501,0.24482550401132933,0.3971190515770768,0.3633975684642792,0.09624796360731125,0.18171384185552597,0.5943886637687683,0.7587279796600342,0.2448254986087348,70.04191435539258,58.81553758454518,7.584164019470891,20.665489508455927,116.19743212268303,150.0569802461488,53.46771357597017,41.89301164301567,23.096750838808973,2.4047222034461373,7.625631293205144,61.78587415646242,117.99497398769034,45.7090103733294,41.89301159312429,23.096764499187312,2.4047158001437903,7.625632573865612,61.78587415646243,117.99497125561467,45.70901022453313,70.81296682878722,60.370908262340485,8.183004270046343,22.727424581139807,115.4528595408816,151.11118442755648,52.959503966645045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,49500,499,500
