method,gap_ms,metric,A2,B,C,C_minus_G_residual,G,G_recovered_from_B,G_vs_GriffinLim,direction,fraction_B_to_C_headroom_recovered,full_B_to_C_headroom
concat,160,pesq,3.7283260805606844,3.7497236704826356,4.027363157510758,0.23686930680274987,3.7904938507080077,0.040770180225372155,0.06216777014732333,higher_better,0.14684575548593545,0.277639487028122
concat,160,plcmos,3.953578918933869,3.798557032775878,4.092608323764801,0.18343719142278037,3.9091711323420206,0.11061409956614243,-0.044407786591848186,higher_better,0.37617280711176804,0.2940512909889228
concat,160,stoi,0.9663546379181261,0.970669642739479,0.9774645309648796,0.005011721722872786,0.9724528092420068,0.0017831665025278554,0.006098171323880686,higher_better,0.2624276431600486,0.0067948882254006415
concat,160,estoi,0.9559841965311584,0.9575313414826895,0.9699415077616902,0.01017248247303626,0.9597690252886539,0.002237683805964452,0.0037848287574955286,higher_better,0.1803105418297936,0.012410166279000712
concat,160,wer,0.5229047619047618,0.5209999999999999,0.5169047619047619,0.004333333333333078,0.521238095238095,-0.0002380952380950374,0.0016666666666668162,lower_better,-0.0581395348836727,0.004095238095238041
concat,160,cer,0.31124124953134624,0.31001989929570806,0.3071151726130953,0.004053033864353239,0.31116820647744853,-0.001148307181740471,7.304305389771448e-05,lower_better,-0.39532365940453373,0.0029047266826127682
concat,500,pesq,2.882413922071457,2.8646264963150023,3.2503603987693785,0.3428256268501282,2.9075347719192504,0.042908275604248036,0.02512084984779328,higher_better,0.1112380201253457,0.3857339024543762
concat,500,plcmos,3.6005746184031153,3.206542120774587,3.7444878722826633,0.4860568515777577,3.2584310207049056,0.051888899930318644,-0.3421435976982097,higher_better,0.09645749554644381,0.5379457515080763
concat,500,stoi,0.9109929850920804,0.9179687754981727,0.9335171929814583,0.014482368735334927,0.9190348242461234,0.0010660487479506875,0.008041839154042996,higher_better,0.0685631672224314,0.015548417483285615
concat,500,estoi,0.8616203784446765,0.8660037653967447,0.900932029483343,0.03326094566261961,0.8676710838207234,0.0016673184239787142,0.006050705376046905,higher_better,0.047735507835284886,0.034928264086598326
concat,500,wer,0.5516190476190476,0.5577738095238095,0.5530119047619049,0.00323809523809504,0.5562499999999999,0.0015238095238095939,-0.004630952380952347,lower_better,0.3200000000000233,0.004761904761904634
concat,500,cer,0.3382851537624828,0.3464909640737433,0.34059599897706533,0.0016886379705308707,0.3422846369475962,0.0042063271261471025,-0.003999483185113395,lower_better,0.7135457220124205,0.005894965096677973
concat,1000,pesq,2.0415519816875456,2.021704362630844,2.3896437532901764,0.3543402445316315,2.035303508758545,0.013599146127700745,-0.006248472929000659,higher_better,0.036960288767483244,0.36793939065933223
concat,1000,plcmos,3.104125989580154,2.7423648545742036,3.2309749500592546,0.6151471802075701,2.6158277698516845,-0.12653708472251912,-0.48829821972846954,higher_better,-0.25897353716546473,0.48861009548505097
concat,1000,stoi,0.8235365918166023,0.8351629003323291,0.8641776735396562,0.02906807153316726,0.835109602006489,-5.329832584011207e-05,0.011573010189886657,higher_better,-0.0018369375303837478,0.02901477320732715
concat,1000,estoi,0.7182990741706949,0.7276192518370032,0.7934781691880762,0.06475058221673802,0.7287275869713382,0.001108335134335059,0.010428512800643275,higher_better,0.01682893036985219,0.06585891735107308
concat,1000,wer,0.5746666666666665,0.5743809523809524,0.5646666666666667,0.011285714285714343,0.575952380952381,-0.001571428571428557,-0.0012857142857144455,lower_better,-0.16176470588235026,0.009714285714285786
concat,1000,cer,0.3527624919022225,0.35055554167229247,0.3464824529761998,0.009789462179835284,0.35627191515603507,-0.005716373483742598,-0.0035094232538125936,lower_better,-1.403449301073732,0.004073088696092686
temporal_self_cross_attention,160,pesq,3.727832981824875,3.7350848898887636,4.016000539779663,0.23760816383361805,3.7783923759460447,0.043307486057281075,0.05055939412116972,higher_better,0.1541654445884402,0.2809156498908991
temporal_self_cross_attention,160,plcmos,3.959443233776091,3.7845214886983234,4.093075923792521,0.18861248915990103,3.9044634346326204,0.11994194593429697,-0.05497979914347084,higher_better,0.38872215820744926,0.308554435094198
temporal_self_cross_attention,160,stoi,0.9660725618920671,0.96998018005289,0.9771020238715544,0.0053021564561946954,0.9717998674153597,0.0018196873624697352,0.005727305523292592,higher_better,0.2555079005946221,0.007121843818664431
temporal_self_cross_attention,160,estoi,0.9554727493862355,0.9564070550386681,0.9694459000860567,0.010733258837989257,0.9587126412480674,0.0023055862093993573,0.003239891861831934,higher_better,0.17682441972581875,0.013038845047388614
temporal_self_cross_attention,160,wer,0.5207142857142856,0.5218571428571429,0.5212380952380951,0.0024761904761906317,0.5237142857142857,-0.0018571428571427795,-0.0030000000000001137,lower_better,-2.9999999999987446,0.0006190476190478522
temporal_self_cross_attention,160,cer,0.31210458775511923,0.31287070343298895,0.31226461795036675,0.0015065983752490242,0.3137712163256158,-0.0009005128926268258,-0.0016666285704965422,lower_better,-1.4857852868060821,0.0006060854826221984
temporal_self_cross_attention,500,pesq,2.8666507844924927,2.8383937742710112,3.238814131259918,0.34871111440658575,2.8901030168533324,0.051709242582321124,0.02345223236083971,higher_better,0.12913739693747303,0.4004203569889069
temporal_self_cross_attention,500,plcmos,3.6236858023325604,3.192015271965662,3.7543425250689184,0.49714331706364945,3.257199208005269,0.06518393603960693,-0.36648659432729147,higher_better,0.11591815207227318,0.5623272531032564
temporal_self_cross_attention,500,stoi,0.9107491339827593,0.9162200702931625,0.9329800613451215,0.015653721928589492,0.917326339416532,0.0011062691233694188,0.006577205433772715,higher_better,0.06600654618130705,0.01675999105195891
temporal_self_cross_attention,500,estoi,0.8613866051066249,0.862996375554167,0.9004208750698526,0.03547800755618047,0.8649428675136721,0.0019464919595051366,0.003556262407047206,higher_better,0.05201116874493699,0.037424499515685605
temporal_self_cross_attention,500,wer,0.5556309523809525,0.5617261904761904,0.5582499999999999,0.005523809523809486,0.5637738095238094,-0.002047619047618965,-0.008142857142856896,lower_better,-0.5890410958903795,0.0034761904761905216
temporal_self_cross_attention,500,cer,0.3458887347671557,0.3503222341629074,0.34404149210892204,0.005239547014838641,0.3492810391237607,0.0010411950391467362,-0.0033923043566049804,lower_better,0.16577580008815312,0.0062807420539853775
temporal_self_cross_attention,1000,pesq,2.029662893295288,1.9998735783100128,2.3705885956287385,0.35064405274391186,2.0199445428848266,0.020070964574813832,-0.00971835041046143,higher_better,0.054141223411938645,0.3707150173187257
temporal_self_cross_attention,1000,plcmos,3.1443940255006155,2.721065025281906,3.2536173721313473,0.6316639752387991,2.621953396892548,-0.09911162838935805,-0.5224406286080674,higher_better,-0.18610682870087528,0.5325523468494411
temporal_self_cross_attention,1000,stoi,0.8229488336636435,0.8320571098284777,0.8630973335250623,0.03118988392079214,0.8319074496042702,-0.00014966022420748182,0.008958615940626746,higher_better,-0.004821493094585812,0.031040223696584657
temporal_self_cross_attention,1000,estoi,0.7165461566866788,0.7214417469496475,0.7917604467678752,0.06892153874918727,0.7228389080186879,0.0013971610690404201,0.006292751332009128,higher_better,0.01986898325270591,0.07031869981822769
temporal_self_cross_attention,1000,wer,0.5924761904761905,0.5819047619047617,0.579,0.0055714285714284495,0.5845714285714284,-0.002666666666666706,0.007904761904762081,lower_better,-0.9180327868853104,0.0029047619047617435
temporal_self_cross_attention,1000,cer,0.3690422294343126,0.3620752652449211,0.3626695882818199,-0.0012081564179750037,0.3614614318638449,0.0006138333810762342,0.007580797570467701,lower_better,nan,-0.0005943230368987695
global_local_affinity,160,pesq,3.6787131357192995,3.719584756851196,3.961184197425842,0.20910230541229247,3.7520818920135497,0.03249713516235353,0.07336875629425021,higher_better,0.1345083212322796,0.241599440574646
global_local_affinity,160,plcmos,3.933164788564046,3.757829288768769,4.065134764798482,0.19273211352030462,3.8724026512781773,0.1145733625094083,-0.06076213728586888,higher_better,0.37283215382185503,0.3073054760297129
global_local_affinity,160,stoi,0.9643031080302115,0.9683271303193312,0.974786778336729,0.005386345351345856,0.9694004329853831,0.0010733026660519895,0.005097324955171678,higher_better,0.1661549767357681,0.0064596480173978454
global_local_affinity,160,estoi,0.9519562842589475,0.9536045162808534,0.9661619923506571,0.010763423278125184,0.955398569072532,0.0017940527916785465,0.0034422848135844397,higher_better,0.14286730722844906,0.01255747606980373
global_local_affinity,160,wer,0.5197142857142856,0.5183333333333333,0.5142380952380953,0.005095238095238153,0.5193333333333334,-0.001000000000000112,0.00038095238095214867,lower_better,-0.24418604651165848,0.004095238095238041
global_local_affinity,160,cer,0.3118431180531847,0.31078458331123165,0.30791173604965866,0.003457252767222918,0.3113689888168816,-0.0005844055056499209,0.00047412923630313353,lower_better,-0.2034237996105424,0.002872847261572997
global_local_affinity,500,pesq,2.853094601869583,2.8641126925945284,3.2456570448875426,0.3495112156867979,2.8961458292007447,0.03203313660621632,0.04305122733116162,higher_better,0.08395652147306813,0.3815443522930142
global_local_affinity,500,plcmos,3.5544493325869237,3.170954333257675,3.695607840220134,0.47720849914550856,3.2183993410746257,0.047445007816950824,-0.3360499915122981,higher_better,0.0904311268052682,0.5246535069624594
global_local_affinity,500,stoi,0.911134853516408,0.9178566271488664,0.9333378961769841,0.015343585297599382,0.9179943108793848,0.00013768373051836758,0.006859457362976773,higher_better,0.008893568755138899,0.01548126902811775
