method,gap_ms,R_high_mean,R_high_median,R_high_p10,R_high_p25,R_high_p75,R_high_p90,R_high_std,R_mean,R_median,R_p10,R_p25,R_p75,R_p90,R_std,alpha_abs_deg_mean,alpha_abs_deg_median,alpha_abs_deg_p10,alpha_abs_deg_p25,alpha_abs_deg_p75,alpha_abs_deg_p90,alpha_abs_deg_std,angle_after_w_deg_mean,angle_after_w_deg_median,angle_after_w_deg_p10,angle_after_w_deg_p25,angle_after_w_deg_p75,angle_after_w_deg_p90,angle_after_w_deg_std,angle_before_w_deg_mean,angle_before_w_deg_median,angle_before_w_deg_p10,angle_before_w_deg_p25,angle_before_w_deg_p75,angle_before_w_deg_p90,angle_before_w_deg_std,circ_after_w_mean,circ_after_w_median,circ_after_w_p10,circ_after_w_p25,circ_after_w_p75,circ_after_w_p90,circ_after_w_std,circ_before_w_mean,circ_before_w_median,circ_before_w_p10,circ_before_w_p25,circ_before_w_p75,circ_before_w_p90,circ_before_w_std,circular_reduction_fraction_mean,circular_reduction_fraction_median,circular_reduction_fraction_p10,circular_reduction_fraction_p25,circular_reduction_fraction_p75,circular_reduction_fraction_p90,circular_reduction_fraction_std,energy_valid_flag_mean,energy_valid_flag_median,energy_valid_flag_p10,energy_valid_flag_p25,energy_valid_flag_p75,energy_valid_flag_p90,energy_valid_flag_std,fraction_R_ge_0_5,fraction_R_ge_0_7,fraction_R_ge_0_9,frame_count,frame_mag_sum_all_mean,frame_mag_sum_all_median,frame_mag_sum_all_p10,frame_mag_sum_all_p25,frame_mag_sum_all_p75,frame_mag_sum_all_p90,frame_mag_sum_all_std,frame_mag_sum_mean,frame_mag_sum_median,frame_mag_sum_p10,frame_mag_sum_p25,frame_mag_sum_p75,frame_mag_sum_p90,frame_mag_sum_std
concat,160,0.6240172721903072,0.6606145799160004,0.18303203582763672,0.3617793545126915,0.9172686338424683,0.9891078591346741,0.2993516099789217,0.4519517813202692,0.43781594932079315,0.1335295841097832,0.2431439906358719,0.6542624682188034,0.8019831776618958,0.2444176726154698,88.24712540214365,87.21094256822765,6.943523779571242,23.26237054646391,152.37961476020604,172.0096098536929,62.98465754338638,54.6204846603434,57.24169978278145,24.024974059277895,38.75843863867168,72.02302486372736,80.33515095720239,20.663677110379403,88.08569198213942,89.15449680221687,34.49730884098861,64.36667479473007,111.0052418439498,139.2561193417759,36.95296697309043,0.5480482158788945,0.562184065580368,0.1980169177055359,0.34573766589164734,0.7568560242652893,0.866470354795456,0.24441767505181472,0.9774126861840486,0.9902588725090027,0.31860101819038394,0.6591515988111496,1.2763831615447998,1.61269052028656,0.4523800148180956,0.32657872095925383,0.25126245655291035,0.007915670264833375,0.05603551440062428,0.5517741330686987,0.7931893293151859,0.2916001639978687,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.420875,0.2035,0.019875,8000,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618
concat,500,0.6127441923969269,0.6412431001663208,0.1785897880792618,0.34942398965358734,0.9029973894357681,0.9879075944423675,0.2996767825069315,0.4453190492596404,0.42666468024253845,0.12956999987363815,0.23920515179634094,0.6462193578481674,0.7893260598182678,0.24236670126744625,88.32122284989394,87.17486550903163,7.436463569235578,25.89029906311783,150.69454220516678,171.43007103469296,61.83901010930664,55.18875629570559,57.88159117781598,25.20966644345783,39.36147518671846,72.39619395657829,80.52224076687172,20.47561903510785,88.25016184805294,89.17188304874915,36.38961240903118,65.78234249078923,110.04025905763207,137.9483293610152,35.981334825649355,0.5546809481044825,0.5733353197574615,0.21067398488521577,0.3537806123495102,0.7607947140932083,0.8704299628734589,0.2423667023113923,0.9794847975374079,0.9910294711589813,0.3381614148616791,0.6811290234327316,1.2687018811702728,1.5939645290374755,0.4417987870789224,0.32606141924188453,0.2522772168916492,0.008944338263234515,0.059248802801419705,0.5484008036317398,0.7867076337014185,0.2884587928084636,0.99992,1.0,1.0,1.0,1.0,1.0,0.008943914131967054,0.4138331066485319,0.19193535482838628,0.01760140811264901,24998,81.75007139219164,38.457061767578125,3.0752665281295775,6.249107122421265,128.1220817565918,230.8947250366211,98.7578114955249,81.75661192114534,38.48405075073242,3.0753822565078734,6.250284552574158,128.1250343322754,230.89639434814453,98.7590548291628
concat,1000,0.5653175992325693,0.5590052306652069,0.15989425927400588,0.303971491754055,0.8496691882610321,0.978881013393402,0.2981151557060302,0.40770339444426357,0.37672993540763855,0.11726218834519386,0.21194571256637573,0.5904347449541092,0.752188903093338,0.2338273628891636,89.0620062494212,89.26976990483918,8.596086256331171,29.323921390021514,148.23554091527336,170.43599027647312,60.31578753557161,58.3838025410382,61.858000954097754,28.972876304420627,44.51475046265553,74.46330460510575,81.48491221717433,19.532767028347152,88.6147862088148,89.6963322939794,43.037692001807926,70.12756540677879,107.36261999731197,130.25610201585513,32.50902201303415,0.5922966030714288,0.6232700645923615,0.24781091511249542,0.4095652773976326,0.7880541980266571,0.8827378273010253,0.23382736406210441,0.9836966657447815,0.9978027641773224,0.40521662235260014,0.7354485094547272,1.2334868609905243,1.514237928390503,0.40174957752040835,0.3085210881588275,0.24299549239214396,0.008849588767358777,0.05957719197839234,0.5076241734044024,0.7352156511887742,0.2724620436336214,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.34666,0.1445,0.01008,50000,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898
global_local_affinity,160,0.6176325450589647,0.6512223482131958,0.18332461565732958,0.34828247874975204,0.9135250747203827,0.9906788468360901,0.3024015406361388,0.44730612418554666,0.4278944283723831,0.13060884773731232,0.24058648943901062,0.6505396962165833,0.799357694387436,0.24499572571344533,87.57359505271654,84.48195756082198,7.175271500468223,24.62852748189011,150.65280633424342,171.46465638057424,62.4122977827341,54.93776657458612,57.96371054220704,24.314765837647382,38.89993198374402,72.36050792571227,80.54140900975844,20.740256648046127,88.19997584397161,88.70243048671583,34.46575268400424,65.36225682852948,110.80591301830674,139.518599413466,36.654463929139986,0.552693873157259,0.5721055567264557,0.20064233988523483,0.3494602218270302,0.7594135403633118,0.8693911492824554,0.24499572773017925,0.9792586989179254,0.9840019047260284,0.32361395955085753,0.6816722601652145,1.2822341918945312,1.6167496085166932,0.4502746134443811,0.3229552994342023,0.24207405715897026,0.00836013395548042,0.05625832045174252,0.5464238673473044,0.7947566227662926,0.292572614434103,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.41375,0.19825,0.019875,8000,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618
global_local_affinity,500,0.6055581369775188,0.6267474889755249,0.17545112669467927,0.33816826343536377,0.9006400555372238,0.9883357405662536,0.3017759390321122,0.4392992031410551,0.4173698127269745,0.12849778085947036,0.23425185680389404,0.6366207003593445,0.78731849193573,0.24187415681512267,87.77323257976337,86.43896726747613,7.512845403969099,25.367599200088744,149.69814054866697,170.98858809731084,61.742483327597846,55.64963396268078,58.73931950359701,25.406224090599896,39.83437870182992,72.84282173395272,80.69487243210595,20.4760749052114,88.37955759817805,89.11513100693551,36.96985883562912,66.60100213451778,109.74061012100714,137.9349353600528,35.658632453346655,0.5607007938145897,0.5826301872730255,0.21268148124217987,0.3633793294429779,0.7657481282949448,0.8715021431446075,0.24187415762970121,0.9809377344167369,0.988823801279068,0.34763700962066657,0.6911441683769226,1.2641489505767822,1.5983685374259948,0.43842656730525476,0.3211410343143783,0.24208938804364896,0.008362291152180382,0.05628856179646204,0.5430848141963021,0.7839658775412213,0.2887687820197639,0.99992,1.0,1.0,1.0,1.0,1.0,0.008943914131967054,0.40067205376430115,0.18617489399151932,0.017001360108808705,24998,81.75007139219164,38.457061767578125,3.0752665281295775,6.249107122421265,128.1220817565918,230.8947250366211,98.7578114955249,81.75661192114534,38.48405075073242,3.0753822565078734,6.250284552574158,128.1250343322754,230.89639434814453,98.7590548291628
global_local_affinity,1000,0.555016530263673,0.537141352891922,0.1548647165298462,0.29046690464019775,0.8442718535661697,0.9795886158943177,0.30009992122403356,0.40058543838195737,0.36502914130687714,0.11553080677986148,0.2061733603477478,0.5787830352783203,0.7489537119865417,0.23291121024489617,88.45172550354293,87.13875771398438,8.720450426116127,29.13903756069938,147.26335910957044,170.19238338349763,60.17276937813833,58.9475784536415,62.897217651409775,29.236107355409953,45.2489846993745,74.9668466412866,81.67600246864052,19.52136290648018,88.66419162535698,89.34757600476938,44.10148611031987,70.73428428056184,106.81613143917737,130.573933940579,32.20046794872971,0.5994145594906062,0.6349709033966064,0.25104627311229705,0.4212169796228409,0.7938266843557358,0.8844692230224609,0.23291121147012317,0.9842678480064869,0.9913658797740936,0.4229802131652833,0.74350605905056,1.2266648411750793,1.5208806991577148,0.39835682350091123,0.3016643434671778,0.22806938400198024,0.00889817527511343,0.056346383935393686,0.4960715607892957,0.7338958555171072,0.2721371527658926,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33256,0.1393,0.01,50000,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898
temporal_self_cross_attention,160,0.6117397794936551,0.6427118182182312,0.18438704460859304,0.3450476974248886,0.9073706120252609,0.9886708378791809,0.30015928514525636,0.44398413740535037,0.42284736037254333,0.13369725793600082,0.23516088351607323,0.6404968053102493,0.7956017136573793,0.24275783973743045,87.98671447119055,86.32091769295621,6.714717436951646,23.292986442531667,151.54119537920863,171.876500395072,62.89262981377663,55.27517033871511,58.2547414876467,24.7305483099753,39.677344115074874,72.60532410368033,80.25236223427268,20.523611459843984,87.96634256941968,89.07435136249595,34.45248196795635,64.48004056702666,110.21643695708337,139.72677948125445,36.75826302500512,0.5560158598283306,0.5771526396274567,0.204398287832737,0.35950323939323425,0.7648392170667648,0.8663026690483093,0.24275784122725602,0.9758286059573292,0.990105003118515,0.3238245308399201,0.6570322513580322,1.2699957191944122,1.612567698955536,0.44922695368288235,0.317643744403079,0.23769207594794384,0.008145386724971697,0.05707111004116451,0.5307659993250884,0.7856922107618168,0.2889751895046511,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.406,0.1915,0.020625,8000,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618,75.40736529440433,29.852689743041992,2.6090235710144047,5.116069316864014,116.02056694030762,219.08762359619143,96.10114736505618
temporal_self_cross_attention,500,0.5943328093087192,0.6083847284317017,0.17175686210393906,0.32553065568208694,0.8869932442903519,0.9861927568912506,0.301312705963442,0.4315374862863654,0.4062596559524536,0.12607164680957794,0.22554369643330574,0.6266322135925293,0.7814868927001952,0.2411745666081752,88.10656139010341,86.33766531680108,7.585529118153884,25.397685756495825,150.4609326600794,171.87571765539312,62.070895578804105,56.323517921321944,59.56022969465708,25.962926684374057,41.202228243509815,73.40681777447736,80.80390274182686,20.36514482978487,88.33363519655704,89.03654285034534,37.231652473307605,67.0627826865659,109.14869568225008,137.7953044368124,35.52167066012724,0.5684625101489963,0.5937403440475464,0.21851314157247548,0.3733678013086319,0.7744562476873398,0.8739283442497253,0.2411745676603106,0.9804494778807997,0.9884116053581238,0.35411466360092164,0.6966648995876312,1.2538406550884247,1.5945355892181396,0.43462298000551614,0.3142885608531309,0.23623562962871134,0.00849502291487323,0.055122819612251975,0.5251500236235321,0.7771741326225989,0.2854919149091905,0.99992,1.0,1.0,1.0,1.0,1.0,0.008943914131967054,0.3873109848787903,0.17621409712777023,0.01740139211136891,24998,81.75007139219164,38.457061767578125,3.0752665281295775,6.249107122421265,128.1220817565918,230.8947250366211,98.7578114955249,81.75661192114534,38.48405075073242,3.0753822565078734,6.250284552574158,128.1250343322754,230.89639434814453,98.7590548291628
temporal_self_cross_attention,1000,0.5459403380146017,0.5251921117305756,0.15237654298543934,0.28409406542778015,0.8265348225831985,0.9752197444438935,0.29818539187891024,0.39444198967896693,0.35737890005111694,0.11409000232815744,0.2018190249800682,0.5675739943981171,0.7426335513591766,0.23137658276031295,88.56312571130611,88.07735206444377,8.439069513445322,29.121734983984442,147.87784049334522,170.56173405909308,60.37949899046672,59.47834764926977,63.46047944659864,29.955842978823004,46.41225470748688,75.2338848397193,81.667793947296,19.320631039252724,88.59929453391734,89.48586001470545,44.45530117913866,70.76511746202257,106.29267598647135,130.47239771441542,32.134412932712365,0.6055580083863065,0.6426211297512054,0.25736646950244907,0.43242600560188293,0.79818095266819,0.8859099566936492,0.2313765833783239,0.9834031084799767,0.9940323233604431,0.42784516215324414,0.7442035973072052,1.219638466835022,1.5145703077316284,0.395499371510718,0.29566456993484824,0.22282012740737628,0.008322780220835055,0.056008001677082496,0.47913525538967866,0.7281919934672767,0.2689348977438896,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32124,0.13266,0.00962,50000,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898,90.89821011722326,58.66937446594238,3.5586381912231446,8.706799745559692,141.46007919311523,231.9103973388671,97.98091622960898
