method,gap_ms,error_type,after_angular_mae_deg,after_angular_mae_rad,after_circular_error_mean,after_count,after_magnitude_weighted_angular_mae_deg,after_magnitude_weighted_angular_mae_rad,after_magnitude_weighted_circular_error,before_angular_mae_deg,before_angular_mae_rad,before_circular_error_mean,before_count,before_magnitude_weighted_angular_mae_deg,before_magnitude_weighted_angular_mae_rad,before_magnitude_weighted_circular_error,frequency_invariance_max_abs_circular_change,mag_weighted_angular_reduction_fraction,mag_weighted_circular_reduction_fraction,stored_vs_fresh_phase_mag_weighted_mae_rad
concat,160,unit,88.13878634180519,1.5383120203763085,0.974947111073751,2056000,64.70317220171238,1.1292833914047495,0.6634141868490682,90.02795454060667,1.5712842255693655,1.0005626139402795,2056000,89.67330726913876,1.5650944629990364,0.9959341732126483,2.980232238769531e-07,0.2784567205989502,0.333877474342455,4.446110719982244e-07
concat,160,temporal,88.87911791930708,1.5512332439602001,0.9850389501725715,2183986,73.37528270004582,1.2806402726974342,0.7800129044629265,89.46838710803398,1.5615179314840406,0.9933758349091503,2183986,86.89358106076652,1.5165790883589627,0.9640252984382028,2.980232238769531e-07,0.15557303768234704,0.19087921683527495,4.446110719982244e-07
concat,160,frequency,40.881754554844115,0.7135212209742186,0.3500868244304729,2048000,25.308277666900295,0.4417127732963589,0.19064582722651036,40.88175455658364,0.7135212210045788,0.3500868370864773,2048000,25.308277668631156,0.4417127733265681,0.19064584428242598,2.980232238769531e-07,6.839109364502037e-11,8.946387312287664e-08,4.446110719982244e-07
concat,500,unit,87.94872798317353,1.53499487624725,0.9724150764849121,6425000,63.80342394572344,1.113579821898666,0.6523208461571157,89.95371887453466,1.5699885687739976,0.9995038166249401,6425000,89.23979459649335,1.5575282395122536,0.9910389511894164,3.5762786865234375e-07,0.28503394439423585,0.34178081963961254,4.446110719982244e-07
concat,500,temporal,88.83871527325782,1.5505280847601228,0.9846170607672713,6552472,72.96672057626041,1.2735095184384384,0.7753935315475876,89.37888092700574,1.5599557539242115,0.9921874528599882,6552472,85.51770238881146,1.4925654754253799,0.9448838546937094,3.5762786865234375e-07,0.14676472194595733,0.17937688563962523,4.446110719982244e-07
concat,500,frequency,40.98118485674059,0.715256607118564,0.35160765414462425,6400000,24.91572083787409,0.4348613641286631,0.18682426193514534,40.98118485635589,0.7152566071118497,0.3516076667598728,6400000,24.91572084077005,0.4348613641792072,0.18682427874569618,3.5762786865234375e-07,1.1623019244134128e-10,8.998054724526955e-08,4.446110719982244e-07
concat,1000,unit,87.88153802514299,1.5338221902553404,0.9714217147498418,12850000,65.24663690197205,1.1387686397926449,0.6698025768404476,89.97657964789039,1.5703875645386076,0.999755734670037,12850000,89.50708393292155,1.5621933184883963,0.9939658586226474,2.980232238769531e-07,0.2710449940379107,0.3261312035721201,4.446110719982244e-07
concat,1000,temporal,88.8319268159641,1.5504096038292163,0.9844476703099736,12978243,74.19445853795524,1.294937588221737,0.791039149370565,89.35378911792827,1.5595178192405283,0.9918781803488308,12978243,85.47498051679243,1.4918198380960321,0.9446687864520715,2.980232238769531e-07,0.13197454869990888,0.16262804411956833,4.446110719982244e-07
concat,1000,frequency,41.01424261592275,0.715833573859624,0.3521015423788037,12800000,25.180439203884834,0.43948157120605,0.1891435287565092,41.01424261552167,0.7158335738526238,0.3521015552051831,12800000,25.180439208582776,0.43948157128804466,0.1891435458103688,2.980232238769531e-07,1.865710741733838e-10,9.016358199906636e-08,4.446110719982244e-07
temporal_self_cross_attention,160,unit,88.00447613707748,1.5359678650847826,0.9731197875556373,2056000,65.88447484100048,1.149901011922826,0.6780270776216207,89.91006330767787,1.5692266353955224,0.9988943212745777,2056000,89.83664334580453,1.567945215324144,0.9981744771382443,2.980232238769531e-07,0.26661913905894663,0.3207329047667926,4.446110719982244e-07
temporal_self_cross_attention,160,temporal,88.89096421114607,1.5514400007569429,0.9851907542295014,2183986,73.96598998832955,1.2909500597935128,0.7874635164627186,89.4011162745229,1.5603438339487115,0.9925238722555547,2183986,86.88934464047657,1.5165051488764048,0.9641760414103964,2.980232238769531e-07,0.14873348056220453,0.1832782784035815,4.446110719982244e-07
temporal_self_cross_attention,160,frequency,41.24104118108315,0.7197919555604719,0.35346279990460605,2048000,32.05538919609893,0.5594720844801445,0.25199247434584976,41.24104118393844,0.7197919556103063,0.353462812497979,2048000,32.055389194735284,0.5594720844563444,0.2519924896971816,2.980232238769531e-07,-4.25402789052805e-11,6.091979898010529e-08,4.446110719982244e-07
temporal_self_cross_attention,500,unit,88.0313616748607,1.5364371062402693,0.9734771302558755,6425000,65.87688690104902,1.1497685773872293,0.6773608305748006,90.0029940670719,1.5708485831233265,1.0001736538250252,6425000,89.50002386685516,1.5620700970901296,0.994281318231288,3.5762786865234375e-07,0.26394559403636736,0.3187432790352055,4.446110719982244e-07
temporal_self_cross_attention,500,temporal,88.93297665488612,1.5521732562270156,0.985763965281483,6552472,73.85589005109124,1.289028453382465,0.7862922996349372,89.35944750727522,1.559616576764992,0.9919096174813494,6552472,85.49683092561536,1.492201199672899,0.9445678088817477,3.5762786865234375e-07,0.1361564019215176,0.16756394592166898,4.446110719982244e-07
temporal_self_cross_attention,500,frequency,41.37495434480102,0.7221291811791108,0.3554329513707757,6400000,32.26944055394238,0.5632079854428774,0.25489518406869194,41.374954345577116,0.7221291811926563,0.35543296392137186,6400000,32.269440555777585,0.5632079854749077,0.25489519978555675,3.5762786865234375e-07,5.6871267588409534e-11,6.166010510529174e-08,4.446110719982244e-07
temporal_self_cross_attention,1000,unit,87.84846165489466,1.5332448986898983,0.9709390430582127,12850000,67.10012705595258,1.1711181456329018,0.692952903136509,89.94421340174115,1.5698226669767923,0.9993455309171853,12850000,89.42489193897904,1.5607587975753205,0.9928090958976167,3.5762786865234375e-07,0.24964821761551845,0.3020280474868154,4.446110719982244e-07
temporal_self_cross_attention,1000,temporal,88.90561109519797,1.5516956371088064,0.985403180280836,12978243,75.16418989876044,1.3118625933276329,0.803342041033703,89.33809937824755,1.5592439816243187,0.991651698124581,12978243,85.5371853307763,1.4929055169106413,0.9453462950274212,3.5762786865234375e-07,0.12126884222228025,0.15021400595810147,4.446110719982244e-07
temporal_self_cross_attention,1000,frequency,41.48759655751713,0.724095158667739,0.35676638493361884,12800000,32.32764449828594,0.56422383590932,0.25549170884723077,41.48759655764102,0.7240951586699013,0.3567663975897152,12800000,32.327644497727015,0.5642238358995649,0.2554917243730817,3.5762786865234375e-07,-1.7289447947341437e-11,6.076850816331486e-08,4.446110719982244e-07
global_local_affinity,160,unit,88.01749782886026,1.536195136480572,0.9734131169738067,2056000,65.41471176446153,1.141702099532923,0.6733596730962602,90.01051388689436,1.5709798287383854,1.0002095598829222,2056000,90.18769171081641,1.574072165127344,1.003643990570833,2.980232238769531e-07,0.27468249243797643,0.32908513434800735,4.446110719982244e-07
global_local_affinity,160,temporal,88.89568031420173,1.5515223122831274,0.985305201046048,2183986,73.55897784099777,1.283846357726961,0.7825111059927524,89.45648124580265,1.561310134987815,0.9931713758434886,2183986,87.06428101353814,1.5195583645678261,0.965784669252545,2.980232238769531e-07,0.15511875840840342,0.1897664863552188,4.446110719982244e-07
global_local_affinity,160,frequency,41.16121741762553,0.7183987680668033,0.35298036439245334,2048000,29.01375172135797,0.5063854958938689,0.23339879405663183,41.161217416212,0.7183987680421324,0.35298037697692053,2048000,29.013751723153568,0.5063854959252081,0.23339880993013495,2.980232238769531e-07,6.188783697530953e-11,6.801021448136066e-08,4.446110719982244e-07
global_local_affinity,500,unit,88.02858892527016,1.5363887126305806,0.973522593764962,6425000,65.02534495395622,1.1349063666916166,0.6678526603524491,89.94438324650413,1.5698256313271235,0.9992822276974188,6425000,89.62256752230246,1.5642088873551143,0.9959668574401089,3.5762786865234375e-07,0.27445344680875444,0.32944288721714876,4.446110719982244e-07
global_local_affinity,500,temporal,88.83936502916433,1.5505394251400255,0.9845391298898982,6552472,73.18111910836886,1.2772514787351736,0.7789875287319548,89.36521985323584,1.5597173232075692,0.991974309558472,6552472,85.55875801910696,1.493282031350518,0.9453257181511961,3.5762786865234375e-07,0.14466828641871973,0.17595859948098558,4.446110719982244e-07
global_local_affinity,500,frequency,41.26725821465805,0.7202495291164599,0.3547043315302208,6400000,28.856728770325223,0.5036449283971497,0.23239330222578283,41.26725821318803,0.7202495290908031,0.35470434427532366,6400000,28.85672877123171,0.5036449284129709,0.23239331815265185,3.5762786865234375e-07,3.141343958932635e-11,6.85341090900785e-08,4.446110719982244e-07
global_local_affinity,1000,unit,87.79520806387211,1.5323154481880443,0.9702521121971385,12850000,66.49648028241715,1.1605825219156682,0.6860942655616712,89.9712842437148,1.5702951423005198,0.9996478437357097,12850000,89.60599847425489,1.5639197029127632,0.9953988697358365,2.980232238769531e-07,0.2579014640239452,0.31073433331931544,4.446110719982244e-07
global_local_affinity,1000,temporal,88.86175915579209,1.5509302763827888,0.9848356674180118,12978243,74.53013355161418,1.3007962224267628,0.7954322915394787,89.35313208536384,1.559506351858986,0.9918589478264687,12978243,85.50604888192424,1.4923620833607942,0.9450043976188501,2.980232238769531e-07,0.12836419731505497,0.15827662438000478,4.446110719982244e-07
global_local_affinity,1000,frequency,41.37352020325972,0.7221041506872758,0.3560418622713862,12800000,29.438194373326922,0.5137934176566236,0.23765879414870578,41.373520203107006,0.7221041506846103,0.356041875107619,12800000,29.43819437436245,0.5137934176746969,0.23765880998947578,2.980232238769531e-07,3.517631571962887e-11,6.665340957474131e-08,4.446110719982244e-07
