dataset,gap_ms,offset_ms,shift_frames,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,delta_pesq_av_minus_audio_mean,delta_pesq_av_minus_audio_std,delta_pesq_av_minus_audio_ci95,delta_num_pesq,delta_stoi_av_minus_audio_mean,delta_stoi_av_minus_audio_std,delta_stoi_av_minus_audio_ci95,delta_num_stoi
grid,160,-320,-8,3.713637667030096,0.6014811133944152,0.018647724729904124,0.9630832364226565,0.030787785281154865,0.0009545140024868825,4000,4000,-0.06673551946878434,0.2941449198989847,0.009119377774010244,4000,-0.004656582137268923,0.014288397556650448,0.0004429833265489964,4000
grid,160,-160,-4,3.7288169299960137,0.5896366624275797,0.018280511102929338,0.9635339217062405,0.030908352461553084,0.0009582519479376356,4000,4000,-0.05155625650286674,0.29151290717753825,0.009037777458352525,4000,-0.004205896853684847,0.013787028715992014,0.0004274393835713241,4000
grid,160,-80,-2,3.776593080252409,0.5465665485669685,0.01694520794964206,0.9655696598989518,0.030853239032182875,0.0009565432657580464,4000,4000,-0.003780106246471405,0.2752176039375017,0.00853257401564483,4000,-0.0021701586609735976,0.013420179119643022,0.0004160659420157178,4000
grid,160,-40,-1,3.799839034438133,0.5330242304603241,0.016525355331440384,0.9671963747763778,0.03047012736862799,0.0009446656511768177,4000,4000,0.019465847939252854,0.28004627745126326,0.008682277426924111,4000,-0.0005434437835476473,0.013084706201880474,0.0004056652719273927,4000
grid,160,0,0,3.8019914225041864,0.5359500431856943,0.016616064331438824,0.9674542883189963,0.03070348016995436,0.0009519002903154081,4000,4000,0.021618236005306244,0.28185417509933886,0.008738327695054554,4000,-0.0002855302409290846,0.012820880309942903,0.0003974858752681875,4000
grid,160,40,1,3.788937540590763,0.5423925123072715,0.016815800263431917,0.9668790470306394,0.030341831178499142,0.0009406880831632242,4000,4000,0.008564354091882706,0.28046506713112807,0.008695261167387334,4000,-0.0008607715292859363,0.012764095568583454,0.00039572537738695907,4000
grid,160,80,2,3.7620241644382477,0.564065297920617,0.01748772184375738,0.9648837452332759,0.03090152270138515,0.0009580402048176163,4000,4000,-0.018349022060632707,0.2895471838435103,0.00897683411896613,4000,-0.002856073326649477,0.013047862479328995,0.0004045230056436059,4000
grid,160,160,4,3.7201132595539095,0.5974319313720865,0.018522187900813118,0.9628676092001147,0.0314129456631583,0.0009738958558086793,4000,4000,-0.060259926944971086,0.2999648863421284,0.00929981424949082,4000,-0.00487220935981063,0.0143892942964952,0.0004461114291425286,4000
grid,160,320,8,3.6947571618854997,0.604432116845667,0.018739214718218777,0.9620474086642749,0.031633712655717204,0.0009807402969972887,4000,4000,-0.08561602461338043,0.3153237999746055,0.009775986796210496,4000,-0.005692409895650592,0.015129437288005724,0.0004690580894101562,4000
grid,500,-320,-8,2.7076958851516246,0.8999175742112301,0.027900153188168086,0.8801694911859456,0.05105907658159777,0.001582985041181793,4000,4000,-0.13066455817222594,0.3028359586142831,0.009388826130692971,4000,-0.019812463925401057,0.03172437103192947,0.0009835509795048836,4000
grid,500,-160,-4,2.7629248552024364,0.8784366367248737,0.02723417947716449,0.8846124874310048,0.04995570019388464,0.0015487770524463958,4000,4000,-0.07543558812141418,0.287585602769445,0.008916019202105102,4000,-0.015369467680341692,0.03059122020604822,0.0009484198935772681,4000
grid,500,-80,-2,2.8938437006771562,0.8035786702374879,0.024913357223878222,0.9020315905217262,0.045595274725600696,0.0014135907398139943,4000,4000,0.055483257353305816,0.31890208490494926,0.009886924398240335,4000,0.002049635410379674,0.027742973372289377,0.0008601156696607186,4000
grid,500,-40,-1,2.959042942672968,0.7678729363381136,0.02380637201319194,0.912172813919062,0.04603731538553271,0.0014272953306353393,4000,4000,0.12068249934911728,0.36192498538852846,0.011220763794746472,4000,0.012190858807715501,0.03113919354768525,0.0009654087163459597,4000
grid,500,0,0,2.9711825028657914,0.7625633390894432,0.023641758518744713,0.914437079565236,0.0464526509287559,0.0014401719824671192,4000,4000,0.13282205954194068,0.3700586750245195,0.011472932652575553,4000,0.014455124453889388,0.03266505559959808,0.0010127150321823787,4000
grid,500,40,1,2.951113118827343,0.7701565108925355,0.023877169697014054,0.9107989925056581,0.0454965476447368,0.001410529903178664,4000,4000,0.11275267550349236,0.3576011760521971,0.011086712692404334,4000,0.010817037394311467,0.030950637486879984,0.0009595629109835794,4000
